landmark,pp1,ss1,pp2,ss2,frame
SPEED,6.22,-,E22,223,4100
WATTS,,,,21_,4100
CADENCE,60,11,50,60,4100
DISTANCE,0.66,-,0.00,0_,4100
TIME,02:07,,02.07,0207,4100
CALORIES,,,17,17,4100
SPEED,22.3,-,6.22,223,4101
WATTS,,212,,212,4101
CADENCE,60,,60,60,4101
DISTANCE,0.66,-,065,0_,4101
TIME,02:07,,60:20,02107,4101
CALORIES,,,17,17,4101
SPEED,E.22,-,22.3,223,4102
WATTS,,,,21_,4102
CADENCE,60,1_,60,60,4102
DISTANCE,0.66,-,066,06_,4102
TIME,02:07,,02.07,0207,4102
CALORIES,,,17,17,4102
SPEED,22.3,-,6.22,223,4103
WATTS,,,,21_,4103
CADENCE,60,11,50,60,4103
DISTANCE,0.66,-,056,06_,4103
TIME,02:07,,02.07,0207,4103
CALORIES,,,17,17,4103
SPEED,22.3,-,E.22,223,4104
WATTS,,,,21_,4104
CADENCE,60,,60,60,4104
DISTANCE,0.66,-,0.66,06_,4104
TIME,02:07,-,0207,0207,4104
CALORIES,,,17,17,4104
SPEED,22.3,-,22.3,223,4105
WATTS,,2121,,212,4105
CADENCE,,1_,,60,4105
DISTANCE,0.66,-,99.0,06_,4105
TIME,02:07,-,02.07,0_107,4105
CALORIES,7,,171,17,4105
SPEED,22.3,-1,6.22,2231,4106
WATTS,,,,21_,4106
CADENCE,60,,50,60,4106
DISTANCE,0.66,-,0.00,0_,4106
TIME,02:07,-,02.07,0207,4106
CALORIES,,,17,17,4106
SPEED,22.3,-,22.3,223,4107
WATTS,,,,21_,4107
CADENCE,,_,60,60,4107
DISTANCE,0.66,-,0.66,06_,4107
TIME,02:07,-,02.07,0207,4107
CALORIES,,,17,17,4107
SPEED,6.22,-,E 22,223,4108
WATTS,,,,21_,4108
CADENCE,60,,50,60,4108
DISTANCE,0.66,-,0.55,0_,4108
TIME,02:07,,0207,0207,4108
CALORIES,,,17,17,4108
SPEED,22.3,-,6.22,223,4109
WATTS,,,,21_,4109
CADENCE,60,_1,60,60,4109
DISTANCE,0.66,-,0.66,06_,4109
TIME,02:07,,0207,0207,4109
CALORIES,,,17,17,4109
SPEED,6.22,-,E.22,223,4110
WATTS,,212,,21_,4110
CADENCE,60,,60,60,4110
DISTANCE,0.65,-,_1.0,0_,4110
TIME,02:07,-,02.07,0207,4110
CALORIES,,,17,17,4110
SPEED,22.3,-,22.3,223,4111
WATTS,,,,21_,4111
CADENCE,,1,80,80,4111
DISTANCE,71,-,,06_,4111
TIME,02:07,-,0207,0207,4111
CALORIES,,,17,17,4111
SPEED,22.3,-,22.3,_23,4112
WATTS,,,,21_,4112
CADENCE,60,,60,6u,4112
DISTANCE,0.6.,-,067,06_,4112
TIME,02:07,-,02.07,0_107,4112
CALORIES,,,_i,17,4112
SPEED,22.3,-,E22,_23,4113
WATTS,,212,,212,4113
CADENCE,,1_1,50,60,4113
DISTANCE,0.67,-,067,06_,4113
TIME,02:07,-,02.07,0207,4113
CALORIES,,,17,17,4113
SPEED,E22,-,22.3,223,4114
WATTS,,,,21_,4114
CADENCE,,_1,60,60,4114
DISTANCE,0.67,-,057,063,4114
TIME,02:07,-,02.07,0207,4114
CALORIES,,,17,17,4114
SPEED,22.3,-,E22,223,4115
WATTS,,,,21_,4115
CADENCE,60,1_1,60,60,4115
DISTANCE,0.67,-,0.67,06_,4115
TIME,02:07,-,0207,0207,4115
CALORIES,,,17,17,4115
SPEED,22.3,-,22.3,223,4116
WATTS,,212,,212,4116
CADENCE,60,,50,60,4116
DISTANCE,0.67,-,067,069,4116
TIME,02:07,-,02-07,0207,4116
CALORIES,17,,17,17,4116
SPEED,22.3,-,22.3,223,4117
WATTS,,212,,21_,4117
CADENCE,60,,60,60,4117
DISTANCE,0.67,-,067,06_,4117
TIME,02:07,-,02-07,0207,4117
CALORIES,,,17,17,4117
SPEED,22.3,-1,22.3,2231,4118
WATTS,,,,21_,4118
CADENCE,60,111,60,60,4118
DISTANCE,0.67,-,0.57,06_,4118
TIME,02:07,-,02.07,n07,4118
CALORIES,,,_i,17,4118
SPEED,6.22,-,622,223,4119
WATTS,,,,21_,4119
CADENCE,60,,60,60,4119
DISTANCE,0.67,-,0.67,06_,4119
TIME,02:07,,0207,0207,4119
CALORIES,,,17,17,4119
SPEED,622,-,6.22,223,4120
WATTS,,,,21_,4120
CADENCE,60,11,60,60,4120
DISTANCE,0.67,-,0.67,06_,4120
TIME,02:07,-,02.07,0207,4120
CALORIES,,,17,17,4120
SPEED,22.3,-,22.3,223,4121
WATTS,,212,,212,4121
CADENCE,60,1,80,80,4121
