landmark,pp1,ss1,pp2,ss2,frame
SPEED,0.0,-,0.0,00,0
WATTS,,,0,0_,0
CADENCE,,0,,0,0
DISTANCE,,-,0.L10,000,0
TIME,0.1:30,-,0E10,0130,0
CALORIES,,,C3,0,0
SPEED,0.0,-,0.0,00,1
WATTS,,,0,0_,1
CADENCE,,__,0,01,1
DISTANCE,LLIL,-,Li LiL,00_,1
TIME,01:30,-,0E:10,01130,1
CALORIES,,,c3,0,1
SPEED,0.0,-,00,00,2
WATTS,,,0,0_,2
CADENCE,,_,0,n,2
DISTANCE,LLIL,-,L LIL,00_,2
TIME,0.1:30,,01:30,011_0,2
CALORIES,,,c3,0,2
SPEED,0.0,-,00,0c1,3
WATTS,,,0,__,3
CADENCE,,__,0,0,3
DISTANCE,,-,000,000,3
TIME,01:30,-,01.30,0130,3
CALORIES,,,,0,3
SPEED,0.0,-,00,00,4
WATTS,,,0.,0_,4
CADENCE,,_,0,0,4
DISTANCE,,-,000,00_,4
TIME,01:30,-,061.0,0190,4
CALORIES,,,0,0,4
SPEED,0.0,-,0.0,00,5
WATTS,,,,0_,5
CADENCE,,_,0,0,5
DISTANCE,,-,000,00_,5
TIME,07:30,-,0E:10,01130,5
CALORIES,,,0,0,5
SPEED,0.0,-,0.0,u0,6
WATTS,0,0,0,0,6
CADENCE,,_,,0,6
DISTANCE,,-,000,00_,6
TIME,01:30,-,7E10,013u,6
CALORIES,,,0,0,6
SPEED,0.0,-,00,00,7
WATTS,,,0,0_,7
CADENCE,,_1,0,0,7
DISTANCE,,-,000,0_,7
TIME,0.1:30,-,0E:10,01130,7
CALORIES,,,0,0,7
SPEED,00,-,0.0,00,8
WATTS,,,0,0_,8
CADENCE,,_,0,0,8
DISTANCE,,-,L.LIL,00_,8
TIME,07:30,-,061.0,0190,8
CALORIES,,,C3,0,8
SPEED,0.0,-,0.0,00,9
WATTS,,,0,0_,9
CADENCE,,_,C3,0,9
DISTANCE,,-,000,00_,9
TIME,01:30,-,0E10,013n,9
