landmark,pp1,ss1,pp2,ss2,frame
SPEED,0.0,-,00,00,200
WATTS,,,0,0_,200
CADENCE,,,,0,200
DISTANCE,,-,0.00,00_,200
TIME,01:37,-,0.137,0137,200
CALORIES,,,0,0,200
SPEED,0.0,-,0.0,00,201
WATTS,,,0.,0_,201
CADENCE,,,0,0,201
DISTANCE,,,0.00,00_,201
TIME,01:37,-,01.37,0137,201
CALORIES,,,0,0,201
SPEED,,-1,-.L,00,202
WATTS,,81111,0,0,202
CADENCE,,1,0,101,202
DISTANCE,,-,Li LU,000,202
TIME,01:37,-,0 1.37,0137,202
CALORIES,,,0,n,202
SPEED,0.0,-,0.L,00,203
WATTS,,,0,0_,203
CADENCE,,,0,10,203
DISTANCE,,-,000,000,203
TIME,071:37,-,0.137,0137,203
CALORIES,,,F3,0,203
SPEED,0.0,-,00,00,204
WATTS,,0,0,0,204
CADENCE,,,0,10,204
DISTANCE,,-,0.00,00_,204
TIME,01:37,-,LEI0,0137,204
CALORIES,,,,0,204
SPEED,0.0,-,00,00,205
WATTS,,0,0,0,205
CADENCE,,,C3,0,205
DISTANCE,,-,FF,0_,205
TIME,07:37,-,LE.0,0137,205
CALORIES,,,,0,205
SPEED,0.0,10,0.0,00,206
WATTS,,0,0,0,206
CADENCE,,,0,10,206
DISTANCE,,-,L.LiL,000,206
TIME,01:37,-,0.1:37,01137,206
CALORIES,,,C3,0,206
SPEED,0.0,110,00,00,207
WATTS,,0,0,0_,207
CADENCE,,,C3,0,207
DISTANCE,,-,0.00,___,207
TIME,01:37,-,01:37,011_7,207
CALORIES,,,3,0,207
SPEED,0.0,0,00,00,208
WATTS,,111_,0,0_,208
CADENCE,,_,0,0,208
DISTANCE,,-,0.00,00_,208
TIME,07:37,,0137,0137,208
CALORIES,,,,0,208
SPEED,0.0,0,00,00,209
WATTS,,0,0,0,209
CADENCE,,,0,10,209
DISTANCE,,-,0.00,00_,209
TIME,01:37,,0E10,0137,209
CALORIES,,,c3,0,209
SPEED,0.0,-,00,00,210
WATTS,,,0,__,210
CADENCE,,__1,,0,210
DISTANCE,,-,0.00,00_,210
TIME,01:37,-,01.37,0137,210
CALORIES,0,,0,0,210
SPEED,0.0,0,Li.L,00,211
WATTS,,,0,0_,211
CADENCE,,_,,0,211
DISTANCE,,-,Li.UiL,000,211
TIME,01:37,,07:37,01137,211
CALORIES,,,0,0,211
SPEED,0.0,0,00,00,212
WATTS,,,0,__,212
CADENCE,,0,,0,212
DISTANCE,,-,000,000,212
TIME,01:37,-,01:37,01137,212
CALORIES,0,,0,0,212
SPEED,0.0,-,00,00,213
WATTS,,,0,0_,213
CADENCE,,_,0,0,213
DISTANCE,TIFIT,-,L.UL,0_,213
TIME,01:37,-,LE10,0137,213
CALORIES,,,C3,0,213
SPEED,0.0,-,00,00,214
WATTS,,0,0,0,214
CADENCE,,_,0,0,214
DISTANCE,,-,0.00,00_,214
TIME,01:37,-,LE10,0137,214
CALORIES,,,C3,0,214
SPEED,0.0,-,00,00,215
WATTS,,0,0,0_,215
CADENCE,,_,C3,0,215
DISTANCE,,-,0.00,00_,215
TIME,01:37,-,0.37,0137,215
CALORIES,,,C3,0,215
SPEED,0.0,0,0.0,00,216
WATTS,7,,0,__,216
CADENCE,,_,0,80,216
DISTANCE,,-,,000,216
TIME,01:37,-,LEI0,0137,216
CALORIES,,,,0,216
SPEED,0.0,-,00,00,217
WATTS,,,0,__,217
CADENCE,,__,0,0,217
DISTANCE,,-,000,00_,217
TIME,01:37,-,LE10,0137,217
CALORIES,,,c3,0,217
SPEED,0.0,-,00,00,218
WATTS,,,0,0_,218
CADENCE,,_,C3,01,218
DISTANCE,,-,000,000,218
TIME,01:37,-,LE10,0137,218
CALORIES,,,0,0,218
SPEED,0.0,10,0 0,00,219
WATTS,,,0,0_,219
CADENCE,,__1,C3,0,219
DISTANCE,,-,0.00,00_,219
TIME,01:37,,LE.10,0137,219
CALORIES,,,C3,0,219
SPEED,0.0,-,00,00,220
WATTS,,,0,__,220
CADENCE,,1,C3,0,220
DISTANCE,,-,LI.LIL,000,220
TIME,01:37,08,01.37,0137,220
CALORIES,,,0,0,220
SPEED,0.0,-,00,00,221
WATTS,,,0,__,221
CADENCE,,__,,0,221
DISTANCE,,-,0.00,00_,221
TIME,01:37,08,07:37,01137,221
CALORIES,0,,C3,0,221
SPEED,0.0,0,00,00,222
WATTS,,0,1,_,222
CADENCE,,_,0,0,222
DISTANCE,,-,0.00,000,222
TIME,07:37,-,LE10,0137,222
CALORIES,,,,0,222
SPEED,0.0,-,00,00,223
WATTS,,,0,0_,223
CADENCE,,_,0,0,223
DISTANCE,,-,000,000,223
TIME,01:37,-,01.37,0137,223
CALORIES,,,C3,0,223
SPEED,0.0,-,00,00,224
WATTS,,0,0,0,224
CADENCE,,11,C3,0,224
DISTANCE,,-,000,000,224
TIME,01:37,-,LE10,0137,224
CALORIES,,,C3,0,224
SPEED,0.0,-,0.0,0_,225
WATTS,,,0,__,225
CADENCE,,1_,C3,0,225
DISTANCE,,-,000,000,225
TIME,01:37,-,LE10,0137,225
CALORIES,,,c3,0,225
SPEED,00,-,0.0,u0,226
WATTS,,,0,__,226
CADENCE,,_,,0,226
DISTANCE,,-,00.0,00_,226
TIME,01:37,08,01.37,0137,226
CALORIES,,,C3,0,226
SPEED,0.0,-,Fi FI,00,227
WATTS,,,9,__,227
CADENCE,,_,E3,0,227
DISTANCE,0.0,-,000,00_,227
TIME,01:37,-,LEI0,0137,227
CALORIES,,,,0,227
SPEED,0.0,0,00,00,228
WATTS,,,0,0_,228
CADENCE,,__,0,01,228
DISTANCE,,-,000,00_,228
TIME,07:37,-,LEI0,0137,228
CALORIES,,,0,0,228
SPEED,0.0,-,00,00,229
WATTS,,,0,0_,229
CADENCE,,_,0,0,229
DISTANCE,,-,L 0L,000,229
TIME,07:37,-,01:37,01137,229
CALORIES,,,0,0,229
SPEED,0.0,-,00,00,230
WATTS,,,0,0_,230
CADENCE,,_,0,10,230
