landmark,pp1,ss1,pp2,ss2,frame
SPEED,2.1.2,-1,21.2,2121,2900
WATTS,274,211,1-,21_,2900
CADENCE,57,11,57,57,2900
DISTANCE,EHD,-,EhD,0_,2900
TIME,01:27,-,621.0,0127,2900
CALORIES,10,,10,10,2900
SPEED,21.2,-,21.2,212,2901
WATTS,314,211,1-,21_,2901
CADENCE,,9,57,57,2901
DISTANCE,0.43,-,EHD,04_,2901
TIME,01:27,-,621.0,0127,2901
CALORIES,10,,10,10,2901
SPEED,2.1.2,-,21.2,212,2902
WATTS,374,211,-1,21_,2902
CADENCE,5-,1_1,65,51,2902
DISTANCE,0.43,-,EHO,04_,2902
TIME,07:27,-,0.1:27,01127,2902
CALORIES,10,,10,10,2902
SPEED,2.1.2,-,21.2,212,2903
WATTS,,211,1-,211,2903
CADENCE,5.,1_1,57,51,2903
DISTANCE,0.43,-,Eh0,0_,2903
TIME,07:27,-,01.27,0127,2903
CALORIES,10,,10,10,2903
SPEED,21.2,9,21.2,21_,2904
WATTS,1-,,1-,21_,2904
CADENCE,57,_,65,57,2904
DISTANCE,0.43,-,Eh D,0_,2904
TIME,01:27,-,01.27,0127,2904
CALORIES,10,,10,10,2904
SPEED,2.1.2,-,21.2,212,2905
WATTS,1-,,1-,21_,2905
CADENCE,57,_,57,51,2905
DISTANCE,EHD,-,EHD,04_,2905
TIME,01:27,08,621.0,0127,2905
CALORIES,10,,10,10,2905
SPEED,21.2,-,21.2,212,2906
WATTS,374,21,1-,211,2906
CADENCE,,5,,51,2906
DISTANCE,EHD,-,E60,04_,2906
TIME,01:27,-,01.27,0127,2906
CALORIES,10,,10,10,2906
SPEED,212,-,262,2__,2907
WATTS,15,21,2.7-,211,2907
CADENCE,57,,57,51,2907
DISTANCE,0.43,-,EHD,043,2907
TIME,01:27,-1,0.127,0127,2907
CALORIES,10,,10,10,2907
SPEED,202,-,0.02,208,2908
WATTS,,21,209,209,2908
CADENCE,,_1,55,5_,2908
DISTANCE,0.43,-,EhD,04_,2908
TIME,01:27,-,01.27,0127,2908
CALORIES,,,10,10,2908
SPEED,,-,20.8,208,2909
WATTS,,,209,20_,2909
CADENCE,56,_1,56,56,2909
DISTANCE,EHD,-,Eh0,0_,2909
TIME,01:27,08,01.27,0127,2909
CALORIES,10,,10,10,2909
SPEED,20.8,-,20.8,208,2910
WATTS,-75,,209,20_,2910
CADENCE,56,,58,58,2910
DISTANCE,0.43,-,EHD,04_,2910
TIME,01:27,-,621.0,0127,2910
CALORIES,10,,10,10,2910
SPEED,802,-1,20.0,2081,2911
WATTS,,,205,20_,2911
CADENCE,56,_111,55,56,2911
DISTANCE,0.43,-,Eh 0,04_,2911
TIME,01:27,-,01.27,0127,2911
CALORIES,10,,10,10,2911
SPEED,,,,,2912
WATTS,205,2111_,205,205,2912
CADENCE,56,,53,58,2912
DISTANCE,0.43,-,EHD,04_,2912
TIME,01:27,-,01.27,0127,2912
CALORIES,10,,10,10,2912
SPEED,20.8,-1,20.0,2081,2913
WATTS,205,,205,20_,2913
CADENCE,56,,56,56,2913
DISTANCE,0.43,-,,04_,2913
TIME,01:27,-,0 1.27,0127,2913
CALORIES,10,,10,10,2913
SPEED,802,-,20.2,208,2914
WATTS,205,,205,20_,2914
CADENCE,56,,56,56,2914
DISTANCE,0.43,-,EhD,04_,2914
TIME,0.1:27,,0.1:27,01127,2914
CALORIES,10,,10,10,2914
SPEED,,-,20.9,208,2915
WATTS,205,205,205,205,2915
CADENCE,56,1_,56,856,2915
DISTANCE,0.43,-,EHD,04_,2915
TIME,01:27,-,07:27,01127,2915
CALORIES,10,,10,10,2915
SPEED,802,-,20.8,208,2916
WATTS,-75,,205,20_,2916
CADENCE,56,_1,55,56,2916
DISTANCE,0.43,-,EhD,0_,2916
TIME,01:27,-,01.27,0127,2916
CALORIES,,,10,10,2916
SPEED,20.8,-1,20,2081,2917
WATTS,-75,,205,20_,2917
CADENCE,56,_,56,56,2917
DISTANCE,0.43,-,,04_,2917
TIME,01:27,-,0.1:27,01127,2917
CALORIES,10,,10,10,2917
SPEED,20.8,-,6.02,2081,2918
WATTS,205,,205,20_,2918
CADENCE,56,,56,56,2918
DISTANCE,0.43,-,EHD,04_,2918
TIME,01:27,,0 1:27,01127,2918
CALORIES,10,,10,10,2918
SPEED,20.8,-,30.8,_08,2919
WATTS,205,,205,20_,2919
CADENCE,56,1,56,56,2919
DISTANCE,EHD,-,Eh0,04_,2919
TIME,01:27,,0.1:27,01127,2919
CALORIES,10,,10,10,2919
SPEED,20.8,-1,30.6,_081,2920
WATTS,205,205,205,205,2920
CADENCE,56,1,56,56,2920
DISTANCE,0.43,-,EHD,04_,2920
TIME,01:27,-,01:27,01127,2920
CALORIES,10,,10,10,2920
SPEED,20.8,-1,002,2081,2921
WATTS,205,,205,20_,2921
CADENCE,56,,36,96,2921
DISTANCE,0.43,-,560,049,2921
TIME,0.1:28,-,02.1 0,012n,2921
CALORIES,10,,10,10,2921
SPEED,802,-,20.6,208,2922
WATTS,205,,205,20_,2922
CADENCE,56,_,95,56,2922
DISTANCE,0.44,-,hh0,04_,2922
TIME,01:28,-,0128,0128,2922
CALORIES,10,,10,10,2922
SPEED,802,-,8.02,208,2923
WATTS,-75,,205,20_,2923
CADENCE,56,__1,95,56,2923
DISTANCE,0.44,-,h60,0_,2923
TIME,01:28,-,821.0,0128,2923
CALORIES,10,,10,10,2923
SPEED,20.8,-1,8.02,208,2924
WATTS,205,,205,20_,2924
CADENCE,56,1,56,96,2924
DISTANCE,0.44,-,660,044,2924
TIME,0.1:28,-,01.28,0128,2924
CALORIES,10,,10,10,2924
SPEED,802,-1,20.3,2081,2925
WATTS,205,,205,20_,2925
CADENCE,56,,55,56,2925
DISTANCE,0.44,-,hh0,04_,2925
TIME,0.1:28,-,01:28,01128,2925
CALORIES,10,,10,10,2925
SPEED,20.8,-,8.02,208,2926
WATTS,205,,205,20_,2926
CADENCE,56,_,56,56,2926
DISTANCE,0.44,-,hh 0,04y,2926
TIME,01:28,-,0.128,0128,2926
CALORIES,10,,10,10,2926
SPEED,20.8,-,20.8,208,2927
WATTS,205,205,205,205,2927
CADENCE,56,,56,56,2927
DISTANCE,0.44,-,hh 0,04_,2927
TIME,01:28,-,0.128,0128,2927
CALORIES,10,,10,10,2927
SPEED,802,-,8.02,208,2928
WATTS,205,,205,20_,2928
CADENCE,56,_11,56,56,2928
DISTANCE,0.44,-,hh 0,044,2928
TIME,01:28,-,01.28,0128,2928
CALORIES,10,,10,10,2928
SPEED,802,-,20.0,208,2929
WATTS,,,205,20_,2929
CADENCE,56,_11,56,56,2929
DISTANCE,0.44,-,hh 0,044,2929
TIME,01:28,-,01.28,0128,2929
CALORIES,,,10,10,2929
SPEED,802,-1,20.6,2081,2930
WATTS,-05,,205,20_,2930
CADENCE,56,1111,55,56,2930
DISTANCE,0.44,-,h60,04y,2930
TIME,01:28,-,01:20,01128,2930
CALORIES,10,,10,10,2930
SPEED,802,-1,20.5,2081,2931
WATTS,-05,,205,20_,2931
CADENCE,56,,56,56,2931
DISTANCE,0.44,-,hh0,04_,2931
TIME,01:28,-,01:28,01128,2931
CALORIES,10,,10,10,2931
SPEED,802,-,20.0,208,2932
WATTS,205,,205,20_,2932
CADENCE,56,_1,55,56,2932
DISTANCE,0.44,-,hh0,04_,2932
TIME,01:28,-,621.0,0128,2932
CALORIES,10,,10,10,2932
SPEED,,-,20.8,208,2933
WATTS,205,205,205,205,2933
CADENCE,56,11_111,36,96,2933
DISTANCE,0.44,-,hh0,04_,2933
TIME,01:28,-,01.20,n128,2933
CALORIES,10,,10,10,2933
SPEED,,-,20.8,208,2934
WATTS,205,205,205,205,2934
CADENCE,56,,56,96,2934
DISTANCE,0.44,-,660,04_,2934
TIME,01:28,-,0.120,0128,2934
CALORIES,10,,10,10,2934
SPEED,20.8,-,20.8,208,2935
WATTS,205,205,205,206,2935
CADENCE,56,,36,96,2935
DISTANCE,0.44,-,hh0,0_,2935
TIME,01:28,,221.0,0128,2935
CALORIES,10,,10,10,2935
SPEED,802,-1,20.3,2081,2936
WATTS,205,,205,20_,2936
CADENCE,56,,56,56,2936
DISTANCE,0.44,-,660,04_,2936
TIME,01:28,-,01.28,0128,2936
CALORIES,10,,10,10,2936
SPEED,20.8,-,20,208,2937
WATTS,205,205,205,205,2937
CADENCE,56,,56,56,2937
DISTANCE,0.44,-,660,04_,2937
TIME,01:28,,82.10,0128,2937
CALORIES,10,,10,10,2937
SPEED,,,,,2938
WATTS,205,,205,20_,2938
CADENCE,56,_11,56,56,2938
DISTANCE,0.44,-,hh0,04_,2938
TIME,01:28,-,01.28,0128,2938
CALORIES,10,,10,10,2938
SPEED,20.8,-,202,208,2939
WATTS,205,,205,20_,2939
CADENCE,56,_,56,56,2939
DISTANCE,0.44,-,hh0,04_,2939
TIME,01:28,-,01.20,0128,2939
CALORIES,10,,10,10,2939
SPEED,802,-1,8.02,2081,2940
WATTS,205,,205,20_,2940
CADENCE,56,1,56,56,2940
DISTANCE,0.44,-,hh 0,044,2940
TIME,01:28,,0.128,0128,2940
CALORIES,10,,10,10,2940
SPEED,,-,20.8,208,2941
WATTS,205,205,205,205,2941
CADENCE,56,,56,56,2941
DISTANCE,0.44,-,hh 0,04_,2941
TIME,0.1:28,-,01:28,n1128,2941
CALORIES,10,,10,10,2941
SPEED,,,,,2942
WATTS,205,,205,20_,2942
CADENCE,56,_,56,56,2942
DISTANCE,0.44,-,6h0,04_,2942
TIME,01:28,-,82.1 0,0128,2942
CALORIES,10,,10,10,2942
SPEED,20.8,-,200,208,2943
WATTS,-05,,502,20_,2943
CADENCE,56,_,56,56,2943
DISTANCE,0.44,-,hH0,04_,2943
TIME,01:28,,01.28,01128,2943
CALORIES,10,,10,10,2943
SPEED,20.8,-1,20.0,2081,2944
WATTS,-05,,205,20_,2944
CADENCE,56,1,56,56,2944
DISTANCE,0.44,-,hh0,044,2944
TIME,01:28,-,82.10,0128,2944
