landmark,pp1,ss1,pp2,ss2,frame
SPEED,E61,-,E61,193,3300
WATTS,168,,168,16_,3300
CADENCE,52,__1,52,52,3300
DISTANCE,0.50,-,1.50,0__,3300
TIME,0.1:40,-,061.0,0140,3300
CALORIES,12,,12,12,3300
SPEED,E61,-,E61,193,3301
WATTS,168,,168,16_,3301
CADENCE,52,__,52,52,3301
DISTANCE,0.57,-,1.50,05_,3301
TIME,0.1:40,,0.140,014n,3301
CALORIES,12,,12,12,3301
SPEED,E'61,-,E 51,193,3302
WATTS,168,168,168,168,3302
CADENCE,52,1,25,52,3302
DISTANCE,0.51,-,1.50,805l,3302
TIME,0.1:40,-,01.40,0140,3302
CALORIES,12,,12,12,3302
SPEED,E61,-,9,193,3303
WATTS,168,168,168,168,3303
CADENCE,52,1111,52,52,3303
DISTANCE,0.51,-,0.57,805l,3303
TIME,0.1:40,-,06.10,0140,3303
CALORIES,12,,12,12,3303
SPEED,E61,-,E61,193,3304
WATTS,168,,168,16_,3304
CADENCE,52,_111,52,52,3304
DISTANCE,0.57,-,1.50,05_,3304
TIME,01:40,-,0h1.0,0140,3304
CALORIES,12,,12,12,3304
SPEED,E61,-,E61,193,3305
WATTS,168,168,168,168,3305
CADENCE,52,_,25,52,3305
DISTANCE,0.51,-,1.50,05_,3305
TIME,0.1:40,-,0.140,0140,3305
CALORIES,12,,12,12,3305
SPEED,E61,-,E EI,193,3306
WATTS,168,168,168,168,3306
CADENCE,52,1__,25,52,3306
DISTANCE,0.57,-,0.5,05_,3306
TIME,0.1:40,-,0610,0140,3306
CALORIES,12,,12,12,3306
SPEED,E61,-,13,193,3307
WATTS,168,,168,16_,3307
CADENCE,52,__1,53,5_,3307
DISTANCE,0.571,-,1.50,05_,3307
TIME,0.1:40,-,0h10,0140,3307
CALORIES,12,,12,12,3307
SPEED,E61,-,E5I,193,3308
WATTS,168,,168,16_,3308
CADENCE,52,_1,52,52,3308
DISTANCE,0.51,-,0.51,05l,3308
TIME,0.1:40,-,0h1 0,0140,3308
CALORIES,12,,12,12,3308
SPEED,19.3,-,19,193,3309
WATTS,168,,168,16_,3309
CADENCE,52,_1,52,52,3309
DISTANCE,0.57,-,1.50,05_,3309
TIME,0.1:40,,0h: 0,01140,3309
CALORIES,12,,12,12,3309
SPEED,E61,-,E I,193,3310
WATTS,168,168,168,168,3310
CADENCE,52,_,52,52,3310
DISTANCE,0.57,-,1.50,05_,3310
TIME,01:41,,0141,0141,3310
CALORIES,12,,12,12,3310
SPEED,19.3,-,E FI,193,3311
WATTS,168,,168,16_,3311
CADENCE,52,1,52,52,3311
DISTANCE,0.51,-,1.50,051,3311
TIME,07:41,,I h:H0,01141,3311
CALORIES,12,,12,12,3311
SPEED,E61,-,13.3,193,3312
WATTS,168,,168,16_,3312
CADENCE,52,_11,52,52,3312
DISTANCE,0.5,-,057,05_,3312
TIME,01:41,-,0 1:4 1,01141,3312
CALORIES,12,,12,12,3312
SPEED,E61,-,E61,193,3313
WATTS,168,,168,16_,3313
CADENCE,52,_1,25,52,3313
DISTANCE,0.51,-,1.50,05_,3313
TIME,01:47,,0 1:4 1,01141,3313
CALORIES,12,,12,12,3313
SPEED,E61,-,19.3,193,3314
WATTS,168,,168,16_,3314
CADENCE,52,,52,52,3314
DISTANCE,0.51,-,0.5 1,05l,3314
TIME,01:41,-,I h10,0141,3314
CALORIES,12,,12,12,3314
SPEED,E61,-,15.3,193,3315
WATTS,168,168,168,168,3315
CADENCE,52,,52,52,3315
DISTANCE,0.51,-,0.5 1,051,3315
TIME,01:41,,i hi0,0141,3315
CALORIES,12,,12,12,3315
SPEED,E61,-,19.3,193,3316
WATTS,168,168,168,168,3316
CADENCE,52,_1,52,52,3316
DISTANCE,0.5.,-,50,05_,3316
TIME,01:41,-,0141,0141,3316
CALORIES,12,,12,12,3316
SPEED,E61,-,E51,193,3317
WATTS,168,,168,16_,3317
CADENCE,52,__1,52,52,3317
DISTANCE,0.57,-,1.50,05_,3317
TIME,01:41,-,I h.i0,0141,3317
CALORIES,12,,12,12,3317
SPEED,E61,-,E51,193,3318
WATTS,168,168,168,168,3318
CADENCE,52,_11,52,52,3318
DISTANCE,0.5,-,0.5,05_,3318
TIME,01:41,-,1 h:i 0,01141,3318
CALORIES,12,,12,12,3318
SPEED,E61,-,19.3,193,3319
WATTS,168,,168,16_,3319
CADENCE,52,__,52,52,3319
DISTANCE,0.5,-,1.50,0__,3319
TIME,01:41,-,I h1 0,0141,3319
CALORIES,12,,12,12,3319
SPEED,E61,-,E61,193,3320
WATTS,168,168,168,168,3320
CADENCE,52,_,52,52,3320
DISTANCE,0.5.,-,50,05_,3320
TIME,07:41,-,I h 0,0141,3320
CALORIES,12,,12,12,3320
SPEED,E61,-,153,193,3321
WATTS,168,,168,16_,3321
CADENCE,52,,52,52,3321
DISTANCE,0.5,-,0.5 7,0__,3321
TIME,,,,,3321
CALORIES,12,,12,12,3321
SPEED,E61,-,13,193,3322
WATTS,168,168,168,168,3322
CADENCE,52,11,52,52,3322
DISTANCE,0.51,-,1.50,05_,3322
TIME,07:41,-,01.4,0141,3322
CALORIES,12,,12,12,3322
SPEED,E61,-,19.3,193,3323
WATTS,168,,168,16_,3323
CADENCE,52,__1,52,52,3323
DISTANCE,0.5,-,051,0__,3323
TIME,01:41,,0 1.41,0141,3323
CALORIES,12,,12,12,3323
SPEED,E61,-,61,193,3324
WATTS,168,168,168,168,3324
CADENCE,52,11,25,52,3324
DISTANCE,0.51,-,0.5 1,05l,3324
TIME,01:41,-,0 1:4 1,01141,3324
CALORIES,12,,12,12,3324
SPEED,E61,-,E ,193,3325
WATTS,168,,168,16_,3325
CADENCE,52,7111,52,52,3325
DISTANCE,0.5,-,150,0__,3325
TIME,01:41,0a,I h0,01h1,3325
CALORIES,12,,12,12,3325
SPEED,E61,-,5,193,3326
WATTS,168,,168,16_,3326
CADENCE,52,,25,52,3326
DISTANCE,0.5,-,051,051,3326
TIME,01:41,,014 i,0141,3326
CALORIES,12,,12,12,3326
SPEED,E61,-,1.3,193,3327
WATTS,168,,168,16_,3327
CADENCE,52,1,52,52,3327
DISTANCE,0.5,-,0.5 1,05_,3327
TIME,01:41,,I h1 0,0141,3327
CALORIES,12,,12,12,3327
SPEED,E61,-,19.3,193,3328
WATTS,168,168,168,168,3328
CADENCE,52,,52,52,3328
DISTANCE,0.51,-,0.5 1,05_,3328
TIME,01:41,,0 1.4 1,0141,3328
CALORIES,12,,12,12,3328
SPEED,E61,-,E61,193,3329
WATTS,168,,168,16_,3329
CADENCE,52,1_,52,52,3329
DISTANCE,0.5,-,1.50,0__,3329
TIME,01:41,-,IhI0,01h1,3329
CALORIES,12,,12,12,3329
SPEED,E61,-,E,193,3330
WATTS,168,168,168,168,3330
CADENCE,52,1,52,52,3330
DISTANCE,0.5,-,0.5 1,0__,3330
TIME,01:41,-,0 1:4 1,01141,3330
CALORIES,12,,12,12,3330
SPEED,E61,-,15,193,3331
WATTS,168,168,168,168,3331
CADENCE,52,_11,52,52,3331
DISTANCE,0.51,-,150,05_,3331
TIME,01:41,,I60,0141,3331
CALORIES,12,,12,12,3331
SPEED,E61,-1,19.3,1931,3332
WATTS,168,,168,16_,3332
CADENCE,52,_1,52,52,3332
DISTANCE,0.5,-,0.5 1,0__,3332
TIME,01:41,-,I h10,0141,3332
CALORIES,12,,12,12,3332
SPEED,E61,-,15.3,193,3333
WATTS,168,,168,16_,3333
CADENCE,52,_,52,52,3333
DISTANCE,0.51,-,1.50,05_,3333
TIME,01:41,0a,i h10,0141,3333
CALORIES,12,,12,12,3333
SPEED,E61,-,3,193,3334
WATTS,168,168,168,168,3334
CADENCE,52,,52,52,3334
DISTANCE,0.51,___,05.1,8051,3334
TIME,0.7:41,,01.4 ,0141,3334
CALORIES,12,,12,12,3334
SPEED,E61,-,E51,193,3335
WATTS,168,,168,16_,3335
CADENCE,52,1,52,52,3335
DISTANCE,0.51,-,05 ,051,3335
TIME,01:41,-,0 1.4 1,01h1,3335
CALORIES,12,,12,12,3335
SPEED,E61,-,9,193,3336
WATTS,168,168,168,168,3336
CADENCE,52,1,25,52,3336
DISTANCE,0.5,-,0.5,0__,3336
TIME,01:41,-,I h10,0141,3336
CALORIES,12,,12,12,3336
SPEED,E61,-,19.3,193,3337
WATTS,168,,168,16_,3337
CADENCE,52,_,52,52,3337
DISTANCE,0.5,-,0.5 1,0__,3337
TIME,01:41,-,014.1,0141,3337
CALORIES,12,,12,12,3337
SPEED,E'61,-,19.3,193,3338
WATTS,168,,168,16_,3338
CADENCE,52,,52,52,3338
DISTANCE,0.5,-,0.5,05_,3338
TIME,01:41,,014.1,0141,3338
CALORIES,12,,12,12,3338
SPEED,E'61,-,E61,193,3339
WATTS,168,,168,16_,3339
CADENCE,52,11,52,52,3339
DISTANCE,0.57,-,0.5 1,0__,3339
TIME,01:41,-,I h1 0,0141,3339
CALORIES,12,,12,12,3339
SPEED,E'61,-,E 5i,193,3340
WATTS,168,168,168,168,3340
CADENCE,52,_,52,52,3340
DISTANCE,0.51,-,1.50,05_,3340
TIME,0.1:4,-,h.1 0,014,3340
CALORIES,12,,12,12,3340
SPEED,E61,-,19.3,193,3341
WATTS,168,,168,16_,3341
CADENCE,52,_,52,52,3341
DISTANCE,0.51,-,0.5 1,05_,3341
TIME,0.1:42,0a,,014_,3341
CALORIES,12,,12,12,3341
SPEED,E61,-,19.3,193,3342
WATTS,168,,168,16_,3342
CADENCE,52,_,52,52,3342
DISTANCE,0.571,-,05 ,05_,3342
TIME,0.1:46,-,0.1:42,01142,3342
CALORIES,12,,13,1_,3342
SPEED,E61,-,19,193,3343
WATTS,168,168,168,168,3343
CADENCE,52,111,25,52,3343
DISTANCE,0.51,-,0.5 1,05l,3343
TIME,01:42,-,2h.1 0,0142,3343
CALORIES,13,,13,13,3343
SPEED,E61,-1,15.3,1931,3344
WATTS,168,168,168,168,3344
CADENCE,52,,52,52,3344
DISTANCE,0.5,-,0.5 1,0__,3344
TIME,0.1:42,-,0.1.42,01142,3344
CALORIES,13,,13,13,3344
SPEED,E61,-,EEI,193,3345
WATTS,168,168,168,168,3345
CADENCE,52,1,52,52,3345
DISTANCE,0.5,-,1.50,0_1,3345
TIME,01:42,,261.0,0142,3345
CALORIES,13,,13,13,3345
SPEED,E61,-,3,193,3346
WATTS,168,,168,16_,3346
CADENCE,52,,52,52,3346
DISTANCE,0.51,-,050,05_,3346
TIME,01:42,-,0.142,0142,3346
CALORIES,13,,13,13,3346
SPEED,E61,-,15.3,193,3347
WATTS,168,168,168,168,3347
CADENCE,52,,52,52,3347
DISTANCE,0.51,-,0.5 ,05l,3347
TIME,01:42,-,07.42,0142,3347
CALORIES,EI,,13,13,3347
SPEED,E61,-,E51,193,3348
WATTS,168,168,168,168,3348
CADENCE,52,_1,52,52,3348
DISTANCE,0.51,-,1.50,05l,3348
TIME,01:42,-,01.42,0142,3348
CALORIES,EI,,13,13,3348
SPEED,E61,-,E61,193,3349
WATTS,168,,168,16_,3349
CADENCE,52,_,52,52,3349
DISTANCE,0.51,-1,0.51,051,3349
TIME,01:42,-,26.10,0142,3349
CALORIES,13,,13,13,3349
SPEED,E61,-,19,193,3350
WATTS,168,,168,16_,3350
CADENCE,52,111,52,52,3350
DISTANCE,0.51,-,05.1,05l,3350
TIME,01:42,-,2h1.0,0142,3350
CALORIES,13,,13,13,3350
SPEED,19.3,-,3,193,3351
WATTS,168,168,168,168,3351
CADENCE,52,1,52,52,3351
DISTANCE,0.51,-,0.5 1,05_,3351
TIME,01:42,,2h1 0,0142,3351
CALORIES,13,,13,13,3351
SPEED,19.3,-,E61,193,3352
WATTS,168,,168,16_,3352
CADENCE,52,__,52,52,3352
DISTANCE,0.51,-,05.1,05l,3352
TIME,01:42,-,01:42,01142,3352
CALORIES,13,,13,13,3352
SPEED,E61,-,19.3,193,3353
WATTS,168,,168,16_,3353
CADENCE,52,11_,52,52,3353
DISTANCE,0.5,-,0.51,051,3353
TIME,01:42,,01.42,0142,3353
CALORIES,13,,13,13,3353
SPEED,E61,-,EFI,193,3354
WATTS,168,,168,16_,3354
CADENCE,52,,52,52,3354
DISTANCE,0.5,-,0.5 1,0__,3354
TIME,01:42,,2h1 0,0142,3354
CALORIES,13,,13,13,3354
SPEED,19.3,-,13,193,3355
WATTS,168,,168,16_,3355
CADENCE,52,1,25,52,3355
DISTANCE,0.5,-,0.5,05_,3355
TIME,01:42,,0.1:42,01142,3355
CALORIES,13,,13,13,3355
SPEED,E'61,-,9,193,3356
WATTS,168,168,168,168,3356
CADENCE,52,,52,52,3356
DISTANCE,0.5c,-,0.52,05_,3356
TIME,01:42,-,071.42,0142,3356
CALORIES,13,,13,13,3356
SPEED,E'61,-,E6I,193,3357
WATTS,168,,160,16_,3357
CADENCE,52,,52,52,3357
DISTANCE,0.52,-,0.52,052,3357
TIME,01:42,,07.42,0142,3357
CALORIES,13,,13,13,3357
SPEED,E61,-,E51,193,3358
WATTS,168,,168,16_,3358
CADENCE,52,1,52,52,3358
DISTANCE,0.52,-,250,_5_,3358
TIME,01:42,-,261.0,0142,3358
CALORIES,13,,13,13,3358
SPEED,E61,-,E51,193,3359
WATTS,168,,168,16_,3359
CADENCE,52,_11,25,52,3359
DISTANCE,0.52,-,0.52,052,3359
TIME,01:42,-,01:42,0142,3359
CALORIES,13,,13,13,3359
SPEED,E61,-,19.3,193,3360
WATTS,168,,168,16_,3360
CADENCE,52,_1,52,52,3360
DISTANCE,0.52,-,0.52,05_,3360
TIME,01:42,-,07:42,01142,3360
CALORIES,EI,,13,13,3360
SPEED,E'61,-,19,193,3361
WATTS,168,,168,16_,3361
CADENCE,52,_,52,52,3361
DISTANCE,0.52,-,052,8_5_,3361
TIME,01:42,-,0 1:42,01142,3361
CALORIES,13,,13,13,3361
SPEED,19.3,-,E6I,193,3362
WATTS,168,,168,16_,3362
CADENCE,52,_1,52,52,3362
DISTANCE,0.52,-,250,05_,3362
TIME,0.1:42,-,0742,0142,3362
CALORIES,EI,,13,13,3362
SPEED,E61,-,E 61,193,3363
WATTS,168,168,168,168,3363
CADENCE,52,_1,52,52,3363
DISTANCE,0.52,-,0.52,052,3363
TIME,01:42,-,261.0,0142,3363
CALORIES,13,,13,13,3363
SPEED,E61,-,E61,193,3364
WATTS,168,168,168,168,3364
CADENCE,52,_1_,52,52,3364
DISTANCE,0.52,-,0.52,05_,3364
TIME,0.1:42,-,2h1.0,0142,3364
CALORIES,13,,13,13,3364
SPEED,E'61,-,19.3,193,3365
WATTS,168,,168,16_,3365
CADENCE,52,_,52,52,3365
DISTANCE,0.52,-,0.52,05_,3365
TIME,0.1:42,,0.1:42,0_42,3365
CALORIES,13,,13,13,3365
SPEED,E61,-,E6I,193,3366
WATTS,168,,168,16_,3366
CADENCE,52,_11,52,852,3366
DISTANCE,0.52,-,0.52,05_,3366
TIME,0.1:42,-,0:42,01142,3366
CALORIES,EI,,13,13,3366
SPEED,E61,-,E61,193,3367
WATTS,168,,168,16_,3367
CADENCE,52,_1,52,52,3367
DISTANCE,0.52,-,0.52,052,3367
TIME,01:42,-,0.142,0142,3367
CALORIES,13,,13,13,3367
SPEED,E61,-,E1,193,3368
WATTS,168,168,168,168,3368
CADENCE,52,_,52,52,3368
DISTANCE,0.52,-,0.52,05_,3368
TIME,0.1:42,-,071.42,0142,3368
CALORIES,13,,13,13,3368
SPEED,E'61,-,19.3,193,3369
WATTS,168,,168,16_,3369
CADENCE,52,111111,52,52,3369
DISTANCE,0.52,-,0.52,05_,3369
TIME,0.1:42,-,0.142,0142,3369
CALORIES,13,,13,13,3369
SPEED,E61,-,15.3,193,3370
WATTS,168,,168,16_,3370
CADENCE,52,1,52,52,3370
DISTANCE,0.52,-,0.52,0_,3370
TIME,0.1:43,,2h1 0,0142,3370
CALORIES,EI,,13,13,3370
SPEED,E61,-,E61,193,3371
WATTS,168,168,168,168,3371
CADENCE,52,11,92,92,3371
DISTANCE,0.52,-,052,052,3371
TIME,01:43,-,EH0,0143,3371
CALORIES,13,,13,13,3371
SPEED,E61,-,E61,193,3372
WATTS,168,168,168,168,3372
CADENCE,52,_1_,52,52,3372
DISTANCE,0.52,-,0.52,05_,3372
TIME,01:43,-,0,01143,3372
CALORIES,13,,EI,13,3372
SPEED,E61,-,E61,193,3373
WATTS,168,,168,1_,3373
CADENCE,52,1,25,52,3373
DISTANCE,0.52,-,0.52,052,3373
TIME,07:43,,01:43,01143,3373
CALORIES,EI,,13,13,3373
SPEED,E61,-,EEI,193,3374
WATTS,168,,168,16_,3374
CADENCE,52,_,52,52,3374
DISTANCE,0.52,-,052,05_,3374
TIME,0.1:43,-,0143,0143,3374
CALORIES,13,,EI,13,3374
SPEED,E61,-,E61,193,3375
WATTS,168,,168,16_,3375
CADENCE,52,,25,52,3375
DISTANCE,0.52,-,0.52,0_,3375
TIME,0.1:43,,0,01143,3375
CALORIES,13,,13,13,3375
SPEED,E61,-,15.3,193,3376
WATTS,168,168,168,168,3376
CADENCE,52,_1111,52,52,3376
DISTANCE,0.52,-,250,0_,3376
TIME,0.1:43,-,Eh.1 0,0143,3376
CALORIES,13,,13,13,3376
SPEED,E61,-,15.3,193,3377
WATTS,168,,168,16_,3377
CADENCE,52,_,52,52,3377
DISTANCE,0.52,-,250,05_,3377
TIME,0.7:43,,Eh1 0,0143,3377
CALORIES,EI,,13,13,3377
SPEED,E61,-,19.3,193,3378
WATTS,168,,168,16_,3378
CADENCE,52,_1_,52,52,3378
DISTANCE,0.52,-,0.52,052,3378
TIME,0.1:43,-,Eh:l i,01143,3378
CALORIES,EI,,13,13,3378
SPEED,E61,-,15.3,193,3379
WATTS,168,168,168,168,3379
CADENCE,52,,52,52,3379
DISTANCE,0.52,-,052,052,3379
TIME,01:43,,Eh1 0,0143,3379
CALORIES,13,,13,13,3379
SPEED,E'61,8,9,193,3380
