landmark,pp1,ss1,pp2,ss2,frame
SPEED,E61,-,19.3,193,3400
WATTS,168,,168,16_,3400
CADENCE,52,1,52,52,3400
DISTANCE,0.52,-,250,05_,3400
TIME,01:44,-,bh:I 0,01149,3400
CALORIES,13,,13,13,3400
SPEED,19.3,-,E6I,193,3401
WATTS,168,168,168,168,3401
CADENCE,52,,52,52,3401
DISTANCE,0.52,-,0.52,0_,3401
TIME,01:44,,6hi 0,0149,3401
CALORIES,13,,13,13,3401
SPEED,E61,-,E51,193,3402
WATTS,168,168,168,168,3402
CADENCE,52,,52,52,3402
DISTANCE,0.52,-,052,0_,3402
TIME,071:44,-,01:44,01144,3402
CALORIES,13,,13,13,3402
SPEED,E61,-,E51,193,3403
WATTS,168,168,168,168,3403
CADENCE,52,11,52,52,3403
DISTANCE,0.52,-,0.52,05_,3403
TIME,0.1:44,-,hh10,0144,3403
CALORIES,3,,13,13,3403
SPEED,E61,-,19.3,193,3404
WATTS,168,,168,16_,3404
CADENCE,52,1,52,52,3404
DISTANCE,0.52,-,0.52,05_,3404
TIME,0.1:44,-,07.44,0149,3404
CALORIES,13,,13,13,3404
SPEED,19.3,-,19.3,193,3405
WATTS,168,,168,16_,3405
CADENCE,52,1,52,52,3405
DISTANCE,0.52,-,0.52,052,3405
TIME,0.1:44,-,hh10,0144,3405
CALORIES,EI,,13,13,3405
SPEED,19.3,-,9,193,3406
WATTS,168,168,168,168,3406
CADENCE,52,,52,52,3406
DISTANCE,0.52,-,052,05_,3406
TIME,0.1:44,-,hh:1 0,0144,3406
CALORIES,EI,,13,13,3406
SPEED,E61,-,19.3,193,3407
WATTS,168,,168,16_,3407
CADENCE,52,_,52,52,3407
DISTANCE,0.52,-,250,05_,3407
TIME,01:44,-,hh:I 0,01144,3407
CALORIES,13,,13,13,3407
SPEED,E61,-,E51,193,3408
WATTS,168,,168,16_,3408
CADENCE,52,,52,52,3408
DISTANCE,0.52,-,0.52,05_,3408
TIME,01:44,-,hh.1 0,0144,3408
CALORIES,EI,,13,13,3408
SPEED,E61,-,E61,193,3409
WATTS,168,168,168,168,3409
CADENCE,52,11,52,52,3409
DISTANCE,0.52,-,0.52,05_,3409
TIME,0.1:44,-,0.1:44,01144,3409
CALORIES,13,,13,13,3409
SPEED,E61,-,E51,193,3410
WATTS,168,,168,16_,3410
CADENCE,52,1,52,52,3410
DISTANCE,0.52,-,0.52,05_,3410
TIME,0.1:44,-,hh1 0,0144,3410
CALORIES,13,,13,13,3410
SPEED,E61,-,E5I,193,3411
WATTS,168,,168,16_,3411
CADENCE,52,,52,52,3411
DISTANCE,0.52,-,052,052,3411
TIME,0.1:44,,hhI 0,0144,3411
CALORIES,EI,,13,13,3411
SPEED,E61,-,E61,193,3412
WATTS,168,,168,16_,3412
CADENCE,52,1,52,52,3412
DISTANCE,0.53,-,0.53,052,3412
TIME,0.1:44,-,hh:1 0,01144,3412
CALORIES,13,,13,13,3412
SPEED,E61,-,9,193,3413
WATTS,168,,168,16_,3413
CADENCE,52,1,52,52,3413
DISTANCE,0.53,-,50,05_,3413
TIME,0.1:44,-,0.1:44,01144,3413
CALORIES,13,,13,13,3413
SPEED,E61,-,19.3,193,3414
WATTS,168,168,168,168,3414
CADENCE,52,_,52,52,3414
DISTANCE,0.53,-,650,05_,3414
TIME,01:44,-,hh1 0,01144,3414
CALORIES,13,,13,13,3414
SPEED,E61,-,E5I,19_,3415
WATTS,168,,168,16_,3415
CADENCE,52,,52,52,3415
DISTANCE,0.53,-,650,05_,3415
TIME,0.1:44,-,hh:1 0,01144,3415
CALORIES,13,,13,13,3415
SPEED,E61,-,19.3,193,3416
WATTS,168,,168,16_,3416
CADENCE,52,11,53,5_,3416
DISTANCE,0.53,-,650,05_,3416
TIME,07:44,-,hh:1 0,01144,3416
CALORIES,13,,13,13,3416
SPEED,E'61,-,E61,193,3417
WATTS,168,,168,16_,3417
CADENCE,52,,52,52,3417
DISTANCE,0.53,-,650,05_,3417
TIME,01:44,-,0.1.44,01144,3417
CALORIES,13,,13,13,3417
SPEED,E'61,-,19.3,193,3418
WATTS,168,168,168,168,3418
CADENCE,52,,25,52,3418
DISTANCE,0.53,-,650,05_,3418
TIME,0.1:44,-,hH1 0,0144,3418
CALORIES,EI,,13,13,3418
SPEED,E61,-,E61,193,3419
WATTS,168,168,168,168,3419
CADENCE,52,,52,52,3419
DISTANCE,650,-,650,05_,3419
TIME,01:44,-,hh:I0,01144,3419
CALORIES,13,,13,13,3419
SPEED,E61,-,E61,193,3420
WATTS,168,,168,16_,3420
CADENCE,52,,52,52,3420
DISTANCE,0.53,-,650,05_,3420
TIME,0.1:44,-,hh:1 0,0144,3420
CALORIES,13,,EI,13,3420
SPEED,E61,-,E61,193,3421
WATTS,168,,168,16_,3421
CADENCE,52,1,52,_21,3421
DISTANCE,0.53,-,650,05_,3421
TIME,0.1:44,-,Hh1 0,0144,3421
CALORIES,13,,13,13,3421
SPEED,E61,-,E61,193,3422
WATTS,168,168,168,168,3422
CADENCE,52,1111,52,52,3422
DISTANCE,0.53,-,0.53,05_,3422
TIME,01:44,-,hh1 0,0144,3422
CALORIES,13,,13,13,3422
SPEED,E'61,-,EFI,193,3423
WATTS,168,168,168,168,3423
CADENCE,52,,52,52,3423
DISTANCE,0.53,-,650,05_,3423
TIME,01:44,-,hh1 0,0144,3423
CALORIES,EI,,13,13,3423
SPEED,E61,-,E61,193,3424
WATTS,168,,168,16_,3424
CADENCE,52,1111,52,52,3424
DISTANCE,0.53,-,053,053,3424
TIME,0.1:44,-,hh.1 0,0144,3424
CALORIES,13,,13,13,3424
SPEED,E61,-,E51,193,3425
WATTS,168,168,168,168,3425
CADENCE,52,_,52,52,3425
DISTANCE,0.53,-,65.0,05_,3425
TIME,01:44,-,hh:i 0,01144,3425
CALORIES,EI,,13,13,3425
SPEED,E61,-,13,193,3426
WATTS,168,168,168,168,3426
CADENCE,52,11,52,52,3426
DISTANCE,0.53,-,650,0_,3426
TIME,0.1:44,-,hh1 0,0144,3426
CALORIES,13,,13,13,3426
SPEED,E61,-,19.3,193,3427
WATTS,168,,168,16_,3427
CADENCE,52,,52,52,3427
DISTANCE,0.53,-,650,053,3427
TIME,0.7:44,-,hhi 0,0144,3427
CALORIES,13,,13,13,3427
SPEED,E61,-,E6I,193,3428
WATTS,168,,168,16_,3428
CADENCE,52,11,52,52,3428
DISTANCE,0.53,-,650,05_,3428
TIME,0.1:44,-,0144,0144,3428
CALORIES,13,,13,13,3428
SPEED,E61,-,9,193,3429
WATTS,168,168,168,168,3429
CADENCE,52,,52,52,3429
DISTANCE,0.53,-,650,0_,3429
TIME,0.1:44,-,hh:1 0,01144,3429
CALORIES,13,,13,13,3429
SPEED,E61,-,E51,193,3430
WATTS,168,168,168,168,3430
CADENCE,52,11_11,52,52,3430
DISTANCE,0.53,-,650,0_,3430
TIME,0.1:45,,hh:1 0,0144,3430
CALORIES,13,,13,13,3430
SPEED,19.3,-,13,193,3431
WATTS,168,,168,16_,3431
CADENCE,52,,52,52,3431
DISTANCE,0.53,-,650,05_,3431
TIME,0.1:45,,5h:10,0114_,3431
CALORIES,13,,13,13,3431
SPEED,E61,-,15,193,3432
WATTS,168,,168,16_,3432
CADENCE,52,,25,52,3432
DISTANCE,0.53,-,650,059,3432
TIME,0.1:45,-,560,0145,3432
CALORIES,EI,,13,13,3432
SPEED,E61,-,E5I,8193,3433
WATTS,168,1681,168,168,3433
CADENCE,52,,52,52,3433
DISTANCE,0.53,-,650,805_,3433
TIME,0.1:45,-,5h1 0,0145,3433
CALORIES,13,,13,13,3433
SPEED,E61,-,EEI,193,3434
WATTS,168,168,168,168,3434
CADENCE,52,1,52,52,3434
DISTANCE,0.53,-,650,8052,3434
TIME,0.1:45,,5h.10,0145,3434
CALORIES,13,,13,13,3434
SPEED,E61,-,19.3,193,3435
WATTS,168,,168,16_,3435
CADENCE,52,,52,52,3435
DISTANCE,0.53,-,650,05_,3435
TIME,0.1:45,,01:45,01145,3435
CALORIES,13,,13,13,3435
SPEED,E61,-,19.3,193,3436
WATTS,168,,168,16_,3436
CADENCE,52,,52,52,3436
DISTANCE,0.53,-,0.53,80_,3436
TIME,0.1:45,-,561.0,0145,3436
CALORIES,EI,,13,13,3436
SPEED,E61,-,19,193,3437
WATTS,168,,168,16_,3437
CADENCE,52,_111,52,52,3437
DISTANCE,650,-,650,05_,3437
TIME,01:45,-,5h10,0145,3437
CALORIES,13,,13,13,3437
SPEED,E61,-,E51,193,3438
WATTS,168,168,168,168,3438
CADENCE,52,,52,52,3438
DISTANCE,0.53,-,65.0,05_,3438
TIME,0.1:45,-,0.1:45,01145,3438
CALORIES,13,,13,13,3438
SPEED,E61,-,E51,193,3439
WATTS,168,,168,16_,3439
CADENCE,52,,52,52,3439
DISTANCE,0.53,-,650,0_,3439
TIME,0.1:45,-,5h0,0145,3439
CALORIES,13,,13,13,3439
SPEED,E61,-,E,193,3440
WATTS,168,168,168,168,3440
CADENCE,52,,52,52,3440
DISTANCE,0.53,-,650,0_,3440
TIME,0.1:45,-,56.10,0145,3440
CALORIES,13,,13,13,3440
SPEED,19.3,-,E 5i,193,3441
WATTS,168,168,168,168,3441
CADENCE,52,__,52,52,3441
DISTANCE,0.53,-,650,05_,3441
TIME,0.1:45,,0.145,0145,3441
CALORIES,13,,13,13,3441
SPEED,E61,-,19.3,193,3442
WATTS,168,,168,16_,3442
CADENCE,52,,52,52,3442
DISTANCE,0.53,-,650,05_,3442
TIME,0.1:45,-,5h1.0,0145,3442
CALORIES,13,,13,13,3442
SPEED,E61,-,19.3,193,3443
WATTS,168,159,168,168,3443
CADENCE,52,,25,52,3443
DISTANCE,0.53,-,650,0_,3443
TIME,0.1:45,-,0.145,0145,3443
CALORIES,13,,13,13,3443
SPEED,E61,-,261,19_,3444
WATTS,159,,168,16_,3444
CADENCE,,__,c5,5_,3444
DISTANCE,0.53,-,65'0,0_,3444
TIME,0.1:45,,07:45,01145,3444
CALORIES,13,,13,13,3444
SPEED,19.8,-,5,198,3445
WATTS,159,,168,16_,3445
CADENCE,,,U7,51,3445
DISTANCE,0.53,-,650,0_,3445
TIME,0.1:45,,7.145,n14_,3445
CALORIES,13,,13,13,3445
SPEED,0'61,-,,8190,3446
WATTS,159,,168,16_,3446
CADENCE,,_1,,51,3446
DISTANCE,0.53,-,0.53,05_,3446
TIME,0.1:45,-,0145,0145,3446
CALORIES,13,,13,13,3446
SPEED,19.0,-,061,190,3447
WATTS,159,,65,15_,3447
CADENCE,,_11,,51,3447
DISTANCE,0.53,-,650,0_,3447
TIME,0.1:45,-,5h1 0,01145,3447
CALORIES,13,,13,13,3447
SPEED,19.0,-,0,190,3448
WATTS,159,159,159,159,3448
