landmark,pp1,ss1,pp2,ss2,frame
SPEED,18.2,-,182,182,1000
WATTS,EHI,,EN,11_,1000
CADENCE,6H,_,19,149,1000
DISTANCE,,-,800,008,1000
TIME,00:24,-,62.00,0024,1000
CALORIES,,,1,1,1000
SPEED,18.2,-,18.2,182,1001
WATTS,EHI,113,143,11_,1001
CADENCE,6H,__1,,49,1001
DISTANCE,0.08,-,0.08,00_,1001
TIME,00:24,,00.24,0024,1001
CALORIES,,,-,1,1001
SPEED,18.2,-,182,182,1002
WATTS,143,,E-,11_,1002
CADENCE,6H,,5h,149,1002
DISTANCE,,-,80.0,00_,1002
TIME,00:24,,00:24,00124,1002
CALORIES,,,-,1,1002
SPEED,18.2,-,18.2,182,1003
WATTS,143,,EF,11_,1003
CADENCE,6H,_11,5h,49,1003
DISTANCE,0.08,-,0.08,008,1003
TIME,00:24,,62.00,0024,1003
CALORIES,,,-,1,1003
SPEED,18.2,-,18.2,182,1004
WATTS,EHI,,E-!,11_,1004
CADENCE,49,1_,49,49,1004
DISTANCE,,-,0.0E,008,1004
TIME,00:24,,00.24,0024,1004
CALORIES,,,,1,1004
SPEED,18.2,-,10.2,182,1005
WATTS,143,113,143,113,1005
CADENCE,49,_,49,49,1005
DISTANCE,0.08,-,0.08,00_,1005
TIME,00:24,,h2.00,0024,1005
CALORIES,,,,1,1005
SPEED,18.2,-,18.2,182,1006
WATTS,EHI,113,143,113,1006
CADENCE,49,,,49,1006
DISTANCE,,-,0.00,00_,1006
TIME,00:24,,00.24,0024,1006
CALORIES,,,1,1,1006
SPEED,18.2,-,18.2,182,1007
WATTS,143,113,EN!,113,1007
CADENCE,6H,_,6h,49,1007
DISTANCE,0.08,-,0.08,00_,1007
TIME,00:24,,00:24,00124,1007
CALORIES,,,,1,1007
SPEED,18.2,-,18.2,182,1008
WATTS,143,113,143,113,1008
CADENCE,6H,,49,49,1008
DISTANCE,,-,80.0,008,1008
TIME,00:24,,00.24,0024,1008
CALORIES,,,1,1,1008
SPEED,18.2,-,102,182,1009
WATTS,EHI,,EN!,11_,1009
CADENCE,6H,_,6h,49,1009
DISTANCE,0.08,-,0.0F,008,1009
TIME,00:24,,62:00,00124,1009
CALORIES,,,1,1,1009
SPEED,18.2,-,18.2,182,1010
WATTS,EHI,113,EN!,113,1010
CADENCE,49,1,6h,49,1010
DISTANCE,0.08,-,0.08,00_,1010
TIME,00:24,-,h2.00,0024,1010
CALORIES,,,1,1,1010
SPEED,18.2,-,19.2,182,1011
WATTS,143,113,143,113,1011
CADENCE,6H,,,49,1011
DISTANCE,,-,0.08,008,1011
TIME,00:24,-,62.00,0024,1011
CALORIES,,,,1,1011
SPEED,18.2,-,18.2,182,1012
WATTS,EHI,,E-!,11_,1012
CADENCE,49,1,99,99,1012
DISTANCE,,-,0.08,008,1012
TIME,00:24,-,00.24,0024,1012
CALORIES,,,,1,1012
SPEED,18.2,-,10.2,182,1013
WATTS,EHI,113,143,113,1013
CADENCE,6h,,49,49,1013
DISTANCE,0.08,-,0.08,00_,1013
TIME,00:24,,h2.00,0024,1013
CALORIES,,,-,1,1013
SPEED,18.2,-,10.2,182,1014
WATTS,143,113,143,113,1014
CADENCE,6H,,19,49,1014
DISTANCE,,-,0.LF,0_,1014
TIME,00:24,,00.24,0024,1014
CALORIES,,,-,1,1014
SPEED,18.2,8,18.2,182,1015
WATTS,143,,EH!,11_,1015
CADENCE,49,9,49,49,1015
DISTANCE,,-,LiLiE,0_,1015
TIME,00:24,,h200,0024,1015
CALORIES,,,,1,1015
SPEED,18.2,-,18.2,182,1016
WATTS,EHI,113,143,113,1016
CADENCE,6H,1_,6h,49,1016
DISTANCE,0.09,-,60.0,00_,1016
TIME,,-,,_024,1016
CALORIES,,,-,1,1016
SPEED,18.2,-,18.2,182,1017
WATTS,EHI,113,143,113,1017
CADENCE,6H,,6h,49,1017
DISTANCE,0.09,-,600,00_,1017
TIME,00:24,-,00.24,0_124,1017
CALORIES,,,1,1,1017
SPEED,18.2,-,18.2,182,1018
WATTS,EHI,,E-!,11_,1018
CADENCE,49,11,49,49,1018
DISTANCE,,-,600,009,1018
TIME,00:24,-,00:24,00124,1018
CALORIES,,,-,1,1018
SPEED,18.2,-,10.2,182,1019
WATTS,143,113,143,113,1019
CADENCE,6H,_1,6h,49,1019
DISTANCE,,-,,0_,1019
TIME,00:24,,00.24,0024,1019
CALORIES,,,-,1,1019
SPEED,18.2,-,10.2,182,1020
WATTS,EHI,113,E-!,113,1020
CADENCE,6H,,6h,49,1020
DISTANCE,0.09,-,0.U-,008,1020
TIME,00:24,-,62.00,0024,1020
CALORIES,,,-,1,1020
SPEED,18.2,-,18.2,182,1021
WATTS,EHI,,E-!,11_,1021
CADENCE,6H,,49,49,1021
DISTANCE,,-,,009,1021
TIME,00:24,-,62.00,0024,1021
CALORIES,,,1,1,1021
SPEED,18.2,-,18.2,182,1022
