landmark,pp1,ss1,pp2,ss2,frame
SPEED,1E2,-,1E2,231,4400
WATTS,,,270,27_,4400
CADENCE,62,__,29,6_,4400
DISTANCE,0.73,-,073,0_,4400
TIME,02:17,-,02,0217,4400
CALORIES,19,,,19,4400
SPEED,1E2,-,23,231,4401
WATTS,,,370,27_,4401
CADENCE,62,1,62,62,4401
DISTANCE,0.73,-,ELD,07_,4401
TIME,02:17,-,02,0_17,4401
CALORIES,19,,19,19,4401
SPEED,162,-,23.,231,4402
WATTS,,,270,27_,4402
CADENCE,62,_111,62,62,4402
DISTANCE,0.73,-,0.73,0_,4402
TIME,02:717,-,02.717,0217,4402
CALORIES,19,,19,19,4402
SPEED,1E2,-,1E2,231,4403
WATTS,,,270,27_,4403
CADENCE,62,__,52,62,4403
DISTANCE,0.73,-,0.73,0_,4403
TIME,02:77,-,02:17,02117,4403
CALORIES,19,,19,19,4403
SPEED,1E2,-,23.1,231,4404
WATTS,,,270,27_,4404
CADENCE,62,1,52,62,4404
DISTANCE,0.73,-,0.73,07_,4404
TIME,02:17,-,02.717,0217,4404
CALORIES,15,,19,19,4404
SPEED,1E2,-,E2,231,4405
WATTS,,270,270,270,4405
CADENCE,62,1,52,62,4405
DISTANCE,0.73,-,0,0_,4405
TIME,02:17,,02.17,0217,4405
CALORIES,61,,19,19,4405
SPEED,1E2,-,E2,231,4406
WATTS,,,270,27_,4406
CADENCE,62,_1,62,62,4406
DISTANCE,0.73,-,073,07_,4406
TIME,02:17,-,02.17,0217,4406
CALORIES,19,,19,19,4406
SPEED,1-E2,-,E2,231,4407
WATTS,,,1.,27_,4407
CADENCE,62,1,62,62,4407
DISTANCE,0.73,-,0.73,07_,4407
TIME,02:17,-,02.17,0217,4407
CALORIES,19,,13,19,4407
SPEED,1E2,-,1E2,231,4408
WATTS,,,370,27_,4408
CADENCE,62,_,52,62,4408
DISTANCE,0.73,-,073,0_,4408
TIME,02:17,-,02:17,02117,4408
CALORIES,19,,1T!,1_,4408
SPEED,1E2,-,E2,231,4409
WATTS,,,10,27_,4409
CADENCE,62,__,62,62,4409
DISTANCE,0.73,-,EL0,07_,4409
TIME,02:17,-,02.717,0217,4409
CALORIES,19,,,19,4409
SPEED,1E2,-,23,231,4410
WATTS,,270,270,270,4410
CADENCE,62,11,52,62,4410
DISTANCE,0.73,-,EL0,07_,4410
TIME,02:17,-,02.17,0_117,4410
CALORIES,61,,19,19,4410
SPEED,1E2,-,23,231,4411
WATTS,,,270,27_,4411
CADENCE,62,11,52,62,4411
DISTANCE,0.73,-,0.73,07_,4411
TIME,02:17,-,02.77,02117,4411
CALORIES,19,,61,19,4411
SPEED,162,-,1E2,231,4412
WATTS,,,270,27_,4412
CADENCE,62,__,62,62,4412
DISTANCE,0.73,-,EL0,07_,4412
TIME,02:17,-,02.77,0217,4412
CALORIES,19,,19,19,4412
SPEED,23.1,-,E2,231,4413
WATTS,,270,270,270,4413
CADENCE,62,1__,62,62,4413
DISTANCE,0.73,-,073,07_,4413
TIME,02:717,-,02.77,0217,4413
CALORIES,19,,19,19,4413
SPEED,1E2,-,23,231,4414
WATTS,,,270,27_,4414
CADENCE,62,_11,62,62,4414
DISTANCE,0.73,-,600,073,4414
TIME,02:17,-,02.17,0217,4414
CALORIES,19,,13,19,4414
SPEED,1E2,-,1E2,231,4415
WATTS,,,270,27_,4415
CADENCE,62,_,29,62,4415
DISTANCE,0.73,-,EL0,07_,4415
TIME,02:17,-,20,0217,4415
CALORIES,19,,19,19,4415
SPEED,1E2,-,E2,231,4416
WATTS,,,270,27_,4416
CADENCE,62,11,62,62,4416
DISTANCE,ELD,-,073,07_,4416
TIME,02:17,-,02.17,0217,4416
CALORIES,19,,,19,4416
SPEED,1E2,-,23.1,231,4417
WATTS,,,270,27_,4417
CADENCE,62,,52,62,4417
DISTANCE,0.73,-,073,07_,4417
TIME,02:17,-,02:17,02117,4417
CALORIES,19,,19,19,4417
SPEED,1E2,-,1E2,231,4418
WATTS,,270,270,270,4418
