landmark,pp1,ss1,pp2,ss2,frame
SPEED,1E2,-,E2,231,4700
WATTS,,2711,270,270,4700
CADENCE,62,_,62,62,4700
DISTANCE,0.79,-,0.79,07_,4700
TIME,02:27,-,02:27,02127,4700
CALORIES,21,,,21,4700
SPEED,23.1,-,1E2,231,4701
WATTS,,,270,27_,4701
CADENCE,62,_,62,62,4701
DISTANCE,0.79,-,1.i-,0_,4701
TIME,02:27,-,02:27,02127,4701
CALORIES,2,,2,21,4701
SPEED,1E2,-,1E3,_31,4702
WATTS,,,,27_,4702
CADENCE,62,_1,62,62,4702
DISTANCE,0.79,-,079,07_,4702
TIME,02:27,-,02.27,0227,4702
CALORIES,,,21,21,4702
SPEED,23.,-,'62,231,4703
WATTS,,270,770,270,4703
CADENCE,62,_,62,62,4703
DISTANCE,0.79,-,0.79,07_,4703
TIME,,-,02.27,0227,4703
CALORIES,21,,Tu,21,4703
SPEED,23.71,-,E2,231,4704
WATTS,,,,27_,4704
CADENCE,62,_1,62,62,4704
DISTANCE,0.79,-,0.79,07_,4704
TIME,02:27,-,02.27,0227,4704
CALORIES,2,,,21,4704
SPEED,1E2,-,E2,231,4705
WATTS,,1_,270,27_,4705
CADENCE,62,,62,62,4705
DISTANCE,0.79,-,1. i-,079,4705
TIME,02:27,11-,02:27,02127,4705
CALORIES,,,,21,4705
SPEED,23.1,-,1E2,231,4706
WATTS,,,370,27_,4706
CADENCE,62,_11,62,62,4706
DISTANCE,0.79,-,,07_,4706
TIME,02:27,-,02.27,0227,4706
CALORIES,27,,,21,4706
SPEED,1E2,-,E2,231,4707
WATTS,,,270,27_,4707
CADENCE,62,1,62,62,4707
DISTANCE,0.79,0_,660,079,4707
TIME,,,,,4707
CALORIES,27,,12,21,4707
SPEED,1E2,-,E2,231,4708
WATTS,,270,270,270,4708
CADENCE,62,,62,62,4708
DISTANCE,0.79,-,,07_,4708
TIME,02:27,-,02.27,0227,4708
CALORIES,2,,12,21,4708
SPEED,23.,-,23,231,4709
WATTS,,270,70,270,4709
CADENCE,62,1,62,621,4709
DISTANCE,0.79,-,F10,078,4709
TIME,02:27,-,02.27,0227,4709
CALORIES,2,,,21,4709
SPEED,23.,-,23.,231,4710
WATTS,1,270,270,270,4710
CADENCE,62,1,62,62,4710
DISTANCE,0.79,-,,078,4710
TIME,02:27,-,02:27,02127,4710
CALORIES,2,,,21,4710
SPEED,23.,-,62,231,4711
WATTS,,,270,27_,4711
CADENCE,62,111,63,6_,4711
DISTANCE,0.79,-,1-,078,4711
TIME,02:27,,02.27,0227,4711
CALORIES,21,,,21,4711
SPEED,23.,-,23.,231,4712
WATTS,,270,270,270,4712
CADENCE,62,,62,62,4712
DISTANCE,0.79,-,Li.i-,0_,4712
TIME,02:27,11,02.27,n27,4712
CALORIES,2,,,21,4712
SPEED,1E2,-,23.1,231,4713
WATTS,,,270,27_,4713
CADENCE,62,1,62,62,4713
DISTANCE,0.79,-,6.0,078,4713
TIME,02:27,,02.27,0227,4713
CALORIES,,,1 2,21,4713
SPEED,1-E2,-,E2,231,4714
WATTS,,2701,270,270,4714
CADENCE,62,_1,62,62,4714
DISTANCE,0.79,-,Li. 15,0_,4714
TIME,02:27,-,02.27,0227,4714
CALORIES,21,,2,21,4714
SPEED,1E2,-,E2,231,4715
WATTS,,,370,27_,4715
CADENCE,62,,62,62,4715
DISTANCE,0.79,-,L.I-,0_,4715
TIME,,-,02.27,0227,4715
CALORIES,12,,,21,4715
SPEED,162,-,23,231,4716
WATTS,,,,27_,4716
CADENCE,62,_,62,62,4716
DISTANCE,0.79,-,0.79,0_,4716
TIME,02:27,-,02.27,0227,4716
CALORIES,2,,,21,4716
SPEED,1E2,-,E2,231,4717
WATTS,,,270,27_,4717
CADENCE,62,11,62,62,4717
DISTANCE,0.79,-,0.79,07_,4717
TIME,02:27,-,02:27,02127,4717
CALORIES,,,2,21,4717
SPEED,1E2,-,E2,231,4718
WATTS,+,270,270,270,4718
CADENCE,62,_,62,62,4718
DISTANCE,0.79,-,079,07_,4718
TIME,02:27,-,02:27,02127,4718
CALORIES,12,,2,21,4718
SPEED,1E2,-,E2,231,4719
WATTS,,,270,27_,4719
CADENCE,62,__,62,62,4719
DISTANCE,,-,0.79,07_,4719
TIME,02:27,-,02.27,0227,4719
CALORIES,27,,3,_1,4719
SPEED,1E2,-,62,231,4720
WATTS,,,270,27_,4720
CADENCE,62,_,62,62,4720
DISTANCE,,-,,07_,4720
TIME,02:27,-,02.27,0227,4720
CALORIES,2,,rJ,_1,4720
SPEED,1E2,-,62,231,4721
WATTS,,,270,27_,4721
CADENCE,62,11,62,6_,4721
DISTANCE,,-,08.0,08_,4721
TIME,02:27,-,02.20,0229,4721
CALORIES,21,,12,21,4721
SPEED,162,-,23,231,4722
WATTS,,,270,27_,4722
CADENCE,62,11,62,62,4722
DISTANCE,,-,0.80,0_,4722
TIME,02:28,-,02.28,n22a,4722
CALORIES,2,,2,21,4722
SPEED,E2,-,1E2,231,4723
WATTS,,270,270,270,4723
CADENCE,62,,62,62,4723
DISTANCE,0.80,-,0.80,08_,4723
TIME,02:28,-,02.28,0228,4723
CALORIES,2,,,21,4723
SPEED,1E2,-,E2,231,4724
WATTS,,,270,27_,4724
CADENCE,62,_1,62,62,4724
DISTANCE,,-,0.90,08_,4724
TIME,02:28,-,02.28,0228,4724
CALORIES,,,TU,21,4724
SPEED,1E2,-,23.1,231,4725
WATTS,,,270,27_,4725
CADENCE,62,,62,62,4725
DISTANCE,,-,0.80,08_,4725
TIME,02:28,-,02.28,0228,4725
CALORIES,,,,21,4725
SPEED,1E2,-,23,231,4726
WATTS,,,270,27_,4726
CADENCE,62,111,52,62,4726
DISTANCE,0.85,-,06.0,08_,4726
TIME,02:28,-,02.28,0228,4726
CALORIES,,,21,21,4726
SPEED,1E2,-,23,231,4727
WATTS,,,270,27_,4727
CADENCE,62,,62,62,4727
DISTANCE,,-,05.0,08,4727
TIME,02:28,-,02.28,0228,4727
CALORIES,2,,12,21,4727
SPEED,162,-,E2,231,4728
WATTS,,,270,27_,4728
CADENCE,62,11,62,62,4728
DISTANCE,,-,0.00,08_,4728
TIME,02:28,-,02.28,0228,4728
CALORIES,27,,,21,4728
SPEED,1E2,-,23,231,4729
WATTS,,,270,2_,4729
CADENCE,62,__,62,62,4729
DISTANCE,08.0,-,000,08_,4729
TIME,02:28,-,02.29,0228,4729
CALORIES,21,,Tu,21,4729
SPEED,23.1,-,23,231,4730
WATTS,,,270,27_,4730
CADENCE,62,1,62,62,4730
DISTANCE,,-,08.0,080,4730
TIME,02:28,-,82.20,0228,4730
CALORIES,2,,2,21,4730
SPEED,1E2,-,E2,231,4731
WATTS,,,370,27_,4731
CADENCE,62,_111,62,62,4731
DISTANCE,0.80,-,0.80,08_,4731
TIME,02:28,-,02.20,0228,4731
CALORIES,,,,21,4731
SPEED,1E2,-,23,231,4732
WATTS,,,270,27_,4732
CADENCE,62,111,62,62,4732
DISTANCE,0.80,-,0.60,08_,4732
TIME,02:28,-,82.20,0228,4732
CALORIES,,,T_,21,4732
SPEED,162,-,E2,231,4733
WATTS,,270,170,270,4733
CADENCE,62,_,62,62,4733
DISTANCE,,-,08.0,08,4733
TIME,02:28,-,02.28,0228,4733
CALORIES,2,,2,21,4733
SPEED,1E2,-,1E2,231,4734
WATTS,,270,270,270,4734
CADENCE,62,,62,62,4734
DISTANCE,0.80,-,0.80,08_,4734
TIME,02:28,-,02.28,02128,4734
CALORIES,21,,,21,4734
SPEED,23.1,-,23,231,4735
WATTS,,,270,27_,4735
CADENCE,62,_,52,62,4735
DISTANCE,,-,08.0,0_,4735
TIME,02:28,,02.28,0228,4735
CALORIES,,,,21,4735
SPEED,1E2,-,E2,231,4736
WATTS,,,370,27_,4736
CADENCE,62,,62,62,4736
DISTANCE,,-,080,0_,4736
TIME,02:28,-,02.20,0228,4736
CALORIES,L,,TU,2,4736
SPEED,E2,-,23,231,4737
WATTS,,,270,27_,4737
CADENCE,62,,52,62,4737
DISTANCE,0.80,-,080,0_,4737
TIME,02:28,,62.20,0228,4737
CALORIES,TL,,T_,2,4737
SPEED,23.71,-,1E2,231,4738
WATTS,,,370,2_,4738
CADENCE,62,_111,62,62,4738
DISTANCE,0.80,-,080,08_,4738
TIME,02:28,-,02.25,0_128,4738
CALORIES,,,,2,4738
SPEED,23.,-,'62,231,4739
WATTS,,,270,27_,4739
CADENCE,62,__,52,62,4739
DISTANCE,08.0,-,08.0,08_,4739
TIME,02:28,,02.28,0228,4739
CALORIES,22,,22,2_,4739
SPEED,1E2,-,1E2,231,4740
WATTS,,,370,27_,4740
CADENCE,62,_1111,62,62,4740
DISTANCE,,-,0.80,080,4740
TIME,02:28,-,02.28,0228,4740
CALORIES,22,,22,22,4740
SPEED,162,-,E2,231,4741
WATTS,,270,70,270,4741
CADENCE,62,1_,52,62,4741
DISTANCE,,-,080,08,4741
TIME,02:28,-,02:28,02128,4741
CALORIES,22,,22,22,4741
SPEED,1E2,-,62,231,4742
WATTS,,270,270,270,4742
CADENCE,62,11,62,62,4742
DISTANCE,0.80,-,0.80,08_,4742
TIME,02:28,,02:20,02128,4742
CALORIES,22,,22,22,4742
SPEED,23.1,-,E2,231,4743
WATTS,,,270,27_,4743
CADENCE,62,,52,62,4743
DISTANCE,,-,060,08,4743
TIME,02:28,-,02.28,02128,4743
CALORIES,22,,22,22,4743
SPEED,1E2,-,23,231,4744
WATTS,,270,270,270,4744
CADENCE,62,_1,62,62,4744
DISTANCE,0.80,-,08.0,0_,4744
TIME,02:28,-,02.28,0228,4744
CALORIES,22,,22,22,4744
SPEED,1E2,-,E2,231,4745
WATTS,,,270,27_,4745
CADENCE,62,1_,52,62,4745
DISTANCE,0.80,-,080,08_,4745
TIME,02:28,-,02.28,0228,4745
CALORIES,22,,22,22,4745
SPEED,1E2,-,162,231,4746
WATTS,,,270,27_,4746
CADENCE,62,1,52,62,4746
DISTANCE,,-,060,0_,4746
TIME,02:28,,02.20,0228,4746
CALORIES,22,,22,22,4746
SPEED,162,-,E2,231,4747
WATTS,,,270,27_,4747
CADENCE,62,,62,62,4747
DISTANCE,,-,08.0,0_,4747
TIME,02:28,,82.20,0228,4747
CALORIES,22,,22,22,4747
SPEED,23.,-,23,231,4748
WATTS,,,370,27_,4748
CADENCE,62,1,52,62,4748
DISTANCE,,-,0.80,00,4748
TIME,02:28,,82.20,0228,4748
CALORIES,22,,22,22,4748
SPEED,1E2,-,E2,231,4749
WATTS,,,270,27_,4749
CADENCE,62,,52,62,4749
DISTANCE,,-,0.80,08_,4749
TIME,02:28,,02.20,0228,4749
CALORIES,22,,22,2_,4749
SPEED,1E2,-,1E2,231,4750
WATTS,,270,270,270,4750
CADENCE,62,1_,62,62,4750
DISTANCE,0.80,-,05.0,0_,4750
TIME,02:29,-,62.20,0229,4750
CALORIES,22,,22,22,4750
SPEED,1E2,-,1E2,231,4751
WATTS,,,270,27_,4751
CADENCE,62,1_,52,62,4751
DISTANCE,,-,0.00,08_,4751
TIME,02:29,-,62.20,0229,4751
CALORIES,22,,22,22,4751
SPEED,23.1,-,E2,231,4752
WATTS,,,270,27_,4752
CADENCE,62,_,62,62,4752
DISTANCE,,-,0.80,08_,4752
TIME,02:29,-,02.29,0229,4752
CALORIES,22,,22,22,4752
SPEED,1E2,-,E2,231,4753
WATTS,70,270,70,270,4753
CADENCE,62,_,62,62,4753
DISTANCE,0.80,-,08.0,08_,4753
TIME,02:29,-,02.29,0229,4753
CALORIES,22,,22,22,4753
SPEED,1E2,-,E2,231,4754
WATTS,,,270,27_,4754
CADENCE,62,1,52,62,4754
DISTANCE,,-,780,08u,4754
TIME,02:29,,62:20,02129,4754
CALORIES,22,,22,22,4754
SPEED,1E2,-,1E2,231,4755
WATTS,,270,270,270,4755
CADENCE,62,11,52,62,4755
DISTANCE,0.80,-,0.00,0_,4755
TIME,02:29,-,02.25,0_129,4755
CALORIES,22,,22,22,4755
SPEED,1E2,-,23,231,4756
WATTS,,,270,27_,4756
CADENCE,62,11,62,62,4756
DISTANCE,,-,080,0_,4756
TIME,02:29,-,62:20,02129,4756
CALORIES,22,,22,22,4756
SPEED,1E2,-,23,231,4757
WATTS,,,270,27_,4757
CADENCE,62,1,62,62,4757
DISTANCE,08.0,-,0.80,08_,4757
TIME,02:29,-,02.29,0229,4757
CALORIES,22,,22,22,4757
SPEED,1E2,-,E2,231,4758
WATTS,,270,270,270,4758
CADENCE,62,,62,62,4758
DISTANCE,0.80,-,080,08_,4758
TIME,02:29,-,02.29,0229,4758
CALORIES,22,,22,22,4758
SPEED,1E2,-,E2,231,4759
WATTS,,,270,27_,4759
CADENCE,62,1_,62,62,4759
DISTANCE,,-,08.0,0u,4759
TIME,02:29,-,02.29,n29,4759
CALORIES,22,,22,22,4759
SPEED,162,-,E2,231,4760
WATTS,,,270,27_,4760
CADENCE,62,1_,:2,82,4760
DISTANCE,,-,050,0_,4760
TIME,02:29,-,02.29,0229,4760
CALORIES,22,,22,22,4760
SPEED,1E2,-,23,231,4761
WATTS,,270,270,270,4761
CADENCE,62,_11,62,62,4761
DISTANCE,0.80,-,0.00,08_,4761
TIME,02:29,,62.20,0_129,4761
CALORIES,22,,22,22,4761
SPEED,1E2,-,62,231,4762
WATTS,,270,270,270,4762
CADENCE,62,,52,62,4762
DISTANCE,0.80,-,0.80,08_,4762
TIME,02:29,,62.20,0229,4762
CALORIES,22,,22,22,4762
SPEED,1E2,-,E2,231,4763
WATTS,,270,70,270,4763
CADENCE,62,1,52,62,4763
DISTANCE,,-,0.80,08,4763
TIME,02:29,,62.20,0229,4763
CALORIES,22,,22,22,4763
SPEED,1E2,-,62,231,4764
WATTS,,,1,27_,4764
CADENCE,62,1_,62,62,4764
DISTANCE,,-,080,00,4764
TIME,02:29,-,02.29,0229,4764
CALORIES,22,,22,22,4764
SPEED,1E2,-,E2,231,4765
WATTS,,,270,27_,4765
CADENCE,62,111,62,62,4765
DISTANCE,,-,7,081,4765
TIME,02:29,,02.25,n28,4765
CALORIES,22,,22,22,4765
SPEED,1E2,-,23,231,4766
WATTS,,270,370,270,4766
CADENCE,62,11,62,62,4766
DISTANCE,,-,,081,4766
TIME,02:29,-,02.29,0229,4766
