landmark,pp1,ss1,pp2,ss2,frame
SPEED,912,-,91.2,216,2600
WATTS,,,,22_,2600
CADENCE,58,1,58,58,2600
DISTANCE,0.37,-,037,03_,2600
TIME,01:17,-,01.17,0117,2600
CALORIES,,,,8,2600
SPEED,2.1.6,-,91.2,216,2601
WATTS,,,125,22_,2601
CADENCE,58,1,85,58,2601
DISTANCE,0.37,-,LED,03_,2601
TIME,01:17,-,01.17,0117,2601
CALORIES,,,,8,2601
SPEED,912,-,31.2,216,2602
WATTS,224,221,,221,2602
CADENCE,58,,58,58,2602
DISTANCE,0.37,-,0.37,03_,2602
TIME,01:17,-,01.17,0_17,2602
CALORIES,,,,8,2602
SPEED,912,-,91.2,216,2603
WATTS,224,221,,221,2603
CADENCE,58,1,85,58,2603
DISTANCE,0.37,-,LED,03_,2603
TIME,01:17,-,01.17,0117,2603
CALORIES,,,,8,2603
SPEED,912,-,31.2,216,2604
WATTS,224,221,,221,2604
CADENCE,58,,58,58,2604
DISTANCE,LED,-,LED,033,2604
TIME,01:17,-,01.17,0117,2604
CALORIES,,,,8,2604
SPEED,912,-,2,216,2605
WATTS,,,,22_,2605
CADENCE,58,__1,58,58,2605
DISTANCE,LED,-,LED,03_,2605
TIME,01:17,-,17,0117,2605
CALORIES,,,,8,2605
SPEED,912,-,1.6,_16,2606
WATTS,224,221,,221,2606
CADENCE,58,__,38,98,2606
DISTANCE,0.37,-,LE0,033,2606
TIME,01:17,-,,0117,2606
CALORIES,,,,8,2606
SPEED,2.1.6,-,2.16,216,2607
WATTS,,,22.,22_,2607
CADENCE,58,11,58,858,2607
DISTANCE,LED,-,LED,03_,2607
TIME,01:17,-,0.1.17,0117,2607
CALORIES,,,,8,2607
SPEED,312,-,2.15,216,2608
WATTS,,21,,221,2608
CADENCE,58,,85,58,2608
DISTANCE,LED,-,LEO,033,2608
TIME,01:17,-,,0117,2608
CALORIES,,,,8,2608
SPEED,312,-,21.2,218,2609
WATTS,,21,-22,2_1,2609
CADENCE,58,,59,59,2609
DISTANCE,0.37,-,LED,03_,2609
TIME,01:17,-,01.17,01117,2609
CALORIES,,,,8,2609
SPEED,312,-,81.2,218,2610
WATTS,,21,-22,2_1,2610
CADENCE,57,_,57,51,2610
DISTANCE,0.37,-,LED,03_,2610
TIME,01:17,,01.17,0117,2610
CALORIES,,,,8,2610
SPEED,2.1.2,-,2,218,2611
WATTS,,21,H22,2_1,2611
CADENCE,57,__1,57,51,2611
DISTANCE,LED,-,037,033,2611
TIME,01:17,-,01.17,0117,2611
CALORIES,,,,8,2611
SPEED,2.1.2,-,21.2,212,2612
WATTS,374,21,-- 2,211,2612
CADENCE,57,1_1,57,57,2612
DISTANCE,LED,-,LE0,03_,2612
TIME,01:17,-,01.17,0117,2612
CALORIES,,,,8,2612
SPEED,212,-,21.2,212,2613
WATTS,374,21,1-,211,2613
CADENCE,,_1,57,57,2613
DISTANCE,0.37,-,LED,03_,2613
TIME,01:17,-,01.17,0117,2613
CALORIES,,,,8,2613
SPEED,21.2,-,21.2,21_,2614
WATTS,1-,,1-,21_,2614
CADENCE,57,__1,57,57,2614
DISTANCE,0.37,-,LED,03_,2614
TIME,01:17,-,L1 :1 0,01117,2614
CALORIES,,,,8,2614
SPEED,2.1.2,-,21.2,21_,2615
WATTS,74,,1-,21_,2615
CADENCE,57,_111,57,57,2615
DISTANCE,0.37,-,LE0,03_,2615
TIME,01:17,-,0.1:17,01117,2615
CALORIES,,,F7,9,2615
SPEED,2.1.2,-,E1 2,21_,2616
WATTS,1-,,1-,21_,2616
CADENCE,57,__1,57,51,2616
DISTANCE,0.37,-,LE0,03_,2616
TIME,01:17,,,01117,2616
CALORIES,,,27,9,2616
SPEED,212,-,21.2,212,2617
WATTS,274,211,-1,211,2617
CADENCE,57,_,57,57,2617
DISTANCE,0.38,-,0E0,037,2617
TIME,01:17,-,0.1:17,01117,2617
CALORIES,,,07,9,2617
SPEED,2.1.2,-,21.2,212,2618
WATTS,,211,11-,211,2618
CADENCE,57,_1,57,57,2618
DISTANCE,0.38,-,8E0,03_,2618
TIME,01:17,-,01.17,0117,2618
CALORIES,,,,9,2618
SPEED,2.1.2,-,21.2,_12,2619
WATTS,,211,1-,211,2619
CADENCE,5,_1,57,57,2619
DISTANCE,0.38,-,8ED,03_,2619
TIME,01:17,-,01.17,0117,2619
CALORIES,,,67,9,2619
SPEED,2.1.2,-1,21.2,2121,2620
WATTS,1-,,1-,21_,2620
CADENCE,57,1,57,57,2620
DISTANCE,0.38,-,860,038,2620
TIME,01:17,-,0.1:17,01117,2620
CALORIES,,,37,9,2620
SPEED,2.1.2,-,21.2,212,2621
WATTS,1-,,1-,21_,2621
CADENCE,L5,_,57,51,2621
DISTANCE,0.38,-,8E0,03_,2621
TIME,01:18,-,01.1,011a,2621
CALORIES,,,17,9,2621
SPEED,2.1.2,-,21.2,212,2622
WATTS,,211,1-,211,2622
CADENCE,57,_,57,51,2622
DISTANCE,0.38,-,8E0,038,2622
TIME,0.1:18,-,0 1.,0118,2622
CALORIES,,,-,9,2622
SPEED,212,-,212,212,2623
WATTS,374,211,-0,211,2623
CADENCE,57,_1,57,57,2623
DISTANCE,0.38,-,8E'0,03_,2623
TIME,0.1:18,,01 1,0118,2623
CALORIES,,,,9,2623
SPEED,2.1.2,-,2.12,212,2624
WATTS,3.14,211,,21_,2624
CADENCE,57,1,57,51,2624
DISTANCE,8ED,-,RE0,0_,2624
TIME,0.1:18,,010,0118,2624
CALORIES,,,07,9,2624
SPEED,2.1.2,-,21.2,212,2625
