landmark,pp1,ss1,pp2,ss2,frame
SPEED,19.7,-,19,197,2100
WATTS,18,,178,17_,2100
CADENCE,E5,_1,53,53,2100
DISTANCE,0.28,-,820,028,2100
TIME,01:00,-,,0100,2100
CALORIES,L,,LO,6,2100
SPEED,L61,-,15.7,197,2101
WATTS,,,178,17_,2101
CADENCE,E5,_11,E5,53,2101
DISTANCE,0.28,-,820,02_,2101
TIME,01:00,-,1LiL,0100,2101
CALORIES,L,,,6,2101
SPEED,L61,-,19,197,2102
WATTS,,,178,17_,2102
CADENCE,E5,1,E5,53,2102
DISTANCE,0.28,-,820,02_,2102
TIME,0.1:00,-,1-LL,0100,2102
CALORIES,L,,,6,2102
SPEED,L61,-,19.7,197,2103
WATTS,,,178,17_,2103
CADENCE,E5,__1,65,53,2103
DISTANCE,0.28,-,820,028,2103
TIME,0.1:00,-,1,0100,2103
CALORIES,L,,07,6,2103
SPEED,19.7,-,5,197,2104
WATTS,,,178,17_,2104
CADENCE,E5,_,E5,53,2104
DISTANCE,0.28,-,820,028,2104
TIME,01:00,-,Li,010n,2104
CALORIES,L,,,6,2104
SPEED,L61,-,L61,191,2105
WATTS,,,178,17_,2105
CADENCE,E5,1,E5,531,2105
DISTANCE,0.28,-,820,02_,2105
TIME,0.1:00,,01.00,0100,2105
CALORIES,LL,,,6,2105
SPEED,L61,-,19.7,197,2106
WATTS,,,17F,17_,2106
CADENCE,E5,_11,E5,53,2106
DISTANCE,0.28,-,820,0_,2106
TIME,01:00,-,,0_00,2106
CALORIES,L,,,6,2106
SPEED,L61,-,19.7,197,2107
WATTS,,,778,17_,2107
CADENCE,E5,_,E5,53,2107
DISTANCE,0.28,-,220,0_,2107
TIME,01:00,-,01.00,0100,2107
CALORIES,L,,,6,2107
SPEED,L61,-,19.7,197,2108
WATTS,,,178,17_,2108
CADENCE,E5,__11,E5,53,2108
DISTANCE,0.28,-,820,02_,2108
TIME,0.1:00,-,1.00,010n,2108
CALORIES,L,,,6,2108
SPEED,L61,-,19,197,2109
WATTS,,,178,17_,2109
CADENCE,E5,_,E5,53,2109
DISTANCE,0.28,-,020,02_,2109
TIME,01:00,-,_,0107,2109
CALORIES,,,07,6,2109
SPEED,L61,-,19.7,197,2110
WATTS,178,178,178,178,2110
CADENCE,E5,_,E5,53,2110
DISTANCE,820,-,820,028,2110
TIME,01:01,-,010.1,0101,2110
CALORIES,,,_,6,2110
SPEED,L61,-,19,197,2111
WATTS,,,178,17_,2111
CADENCE,E5,11,E5,53,2111
DISTANCE,0.28,-,820,02_,2111
TIME,01:01,-,0101,0101,2111
CALORIES,,,,6,2111
SPEED,L61,-,19,191,2112
WATTS,,,178,17_,2112
