landmark,pp1,ss1,pp2,ss2,frame
SPEED,2.1.2,-,21.2,212,2800
WATTS,1-,,,21_,2800
CADENCE,57,_,57,57,2800
DISTANCE,0.41,-,160,04_,2800
TIME,,88,,81__,2800
CALORIES,10,,10,10,2800
SPEED,212,-,21.2,212,2801
WATTS,1-,,1-1,21_,2801
CADENCE,57,__,57,51,2801
DISTANCE,0.41,-,I h'0,041,2801
TIME,01:24,-,h21 0,0124,2801
CALORIES,10,,10,10,2801
SPEED,2.1.2,-,21.2,212,2802
WATTS,274,211,1-,211,2802
CADENCE,57,__1,65,57,2802
DISTANCE,0.41,-,Ih0,0__,2802
TIME,01:24,-,h2: 0,01124,2802
CALORIES,10,,10,10,2802
SPEED,2.1.2,-,21.2,212,2803
WATTS,1-,,,21_,2803
CADENCE,57,_1,97,97,2803
DISTANCE,0.41,-,I h0,04_,2803
TIME,01:24,-,621.0,0124,2803
CALORIES,10,,10,10,2803
SPEED,212,-,21.2,21_,2804
WATTS,1,,,21_,2804
CADENCE,57,1_,57,51,2804
DISTANCE,0.41,-,I h0,091,2804
TIME,01:24,-,h21 0,0124,2804
CALORIES,10,,10,10,2804
SPEED,2.1.2,-,21.2,212,2805
WATTS,374,211,1-,211,2805
CADENCE,57,_11,57,51,2805
DISTANCE,0.41,-,I h0,041,2805
TIME,01:24,-,621.0,0124,2805
CALORIES,10,,10,10,2805
SPEED,21.2,-,21.2,212,2806
WATTS,1-,,1-1,21_,2806
CADENCE,57,__,57,51,2806
DISTANCE,0.41,-,I h0,0_1,2806
TIME,01:24,-,0.1:24,01124,2806
CALORIES,10,,10,10,2806
SPEED,2.1.2,-,21.2,212,2807
WATTS,1-,,,21_,2807
CADENCE,57,_,57,51,2807
DISTANCE,0.41,-,1h'0,0__,2807
TIME,01:24,,h21 0,0124,2807
CALORIES,10,,10,10,2807
SPEED,2.1.2,-1,21.2,2121,2808
WATTS,274,,1-,21_,2808
CADENCE,57,1_,57,57,2808
DISTANCE,0.41,-,160,041,2808
TIME,0.1:24,08,62.1 0,0124,2808
CALORIES,10,,10,10,2808
SPEED,212,-,21.2,212,2809
WATTS,1-,,,21_,2809
CADENCE,57,1_,57,51,2809
DISTANCE,0.41,-,I h'0,04_,2809
TIME,01:24,-,h21 0,0124,2809
CALORIES,H,,10,10,2809
SPEED,212,-,21.2,212,2810
WATTS,1-,,11-,21_,2810
CADENCE,57,11,57,51,2810
DISTANCE,0.41,-,1 60,04_,2810
TIME,01:24,-,h2.1 0,0124,2810
CALORIES,10,,10,10,2810
SPEED,2.1.2,-,21.2,212,2811
WATTS,14,,1-,21_,2811
CADENCE,57,9,65,57,2811
DISTANCE,0.41,-,160,0__,2811
TIME,01:24,-,01.24,0124,2811
CALORIES,10,,10,10,2811
SPEED,212,-,21.2,212,2812
WATTS,15,,,21_,2812
CADENCE,57,_,57,51,2812
DISTANCE,0.41,-,160,04_,2812
TIME,01:24,-,h21 0,0124,2812
CALORIES,10,,10,10,2812
SPEED,212,-,21.2,212,2813
WATTS,274,211,1-,211,2813
CADENCE,57,1_,57,51,2813
DISTANCE,0.41,-,041,04_,2813
TIME,01:24,-,62.1 0,0124,2813
CALORIES,10,,10,10,2813
SPEED,212,-,21.2,212,2814
WATTS,1-,,,21_,2814
CADENCE,57,__1,57,51,2814
DISTANCE,0.41,-,1 60,04_,2814
TIME,01:24,-,0 1:24,01124,2814
CALORIES,10,,10,10,2814
SPEED,21.2,-,21.2,212,2815
WATTS,1-,,1-,21_,2815
CADENCE,57,11_1,57,51,2815
DISTANCE,0.41,-,04.1,041,2815
TIME,01:24,-,h21 0,0124,2815
CALORIES,10,,10,10,2815
SPEED,21.2,-,21.2,212,2816
WATTS,1-,,1-,21_,2816
CADENCE,57,_,57,57,2816
DISTANCE,0.41,-,160,04_,2816
TIME,01:24,-,h21.0,0124,2816
CALORIES,10,,10,10,2816
SPEED,21.2,-,21.2,212,2817
WATTS,1-,,,21_,2817
CADENCE,57,1,57,51,2817
DISTANCE,0.4.,-,60,04_,2817
TIME,01:24,-,h21 0,0124,2817
CALORIES,10,,10,10,2817
SPEED,21.2,-,21.2,212,2818
WATTS,1-,,,21_,2818
CADENCE,57,_,57,51,2818
DISTANCE,0.4,-,1 h0,0_l,2818
TIME,0.1:24,-,0.1.24,0124,2818
CALORIES,10,,10,10,2818
SPEED,21.2,-,2.12,212,2819
WATTS,,,1-,21_,2819
CADENCE,57,1,57,51,2819
DISTANCE,0.4,-,0.-1,0__,2819
TIME,0.1:24,08,0.1:24,01124,2819
CALORIES,10,,10,10,2819
SPEED,212,-,21.2,212,2820
WATTS,214,211,1-,211,2820
CADENCE,57,1_,57,57,2820
DISTANCE,0.4,-,ch0,04_,2820
TIME,0.1:24,-,0.1.24,0124,2820
CALORIES,10,,10,10,2820
SPEED,2.1.2,-,21.2,212,2821
WATTS,1-,,,21_,2821
CADENCE,57,__1,97,97,2821
DISTANCE,0.42,-,26.0,0_,2821
TIME,0.1:24,-,0.1:24,01124,2821
CALORIES,10,,10,10,2821
SPEED,212,-,21.2,212,2822
WATTS,1-,,,21_,2822
CADENCE,57,1,57,57,2822
DISTANCE,0.42,-,26.0,04_,2822
TIME,0.1:24,-,h21 0,0124,2822
CALORIES,10,,10,10,2822
SPEED,212,-,21.2,212,2823
WATTS,1-,,1-,21_,2823
CADENCE,57,_,65,857,2823
DISTANCE,0.42,-,26.0,04_,2823
TIME,01:24,-,01.24,0124,2823
CALORIES,10,,10,10,2823
SPEED,212,-,21.2,212,2824
WATTS,15,,,21_,2824
CADENCE,57,_1,57,51,2824
DISTANCE,0.42,-,260,04_,2824
TIME,0.1:24,-,0.1:24,01124,2824
CALORIES,10,,10,10,2824
SPEED,2.1.2,-,21.2,212,2825
WATTS,314,211,,21_,2825
CADENCE,,11,57,51,2825
DISTANCE,0.42,-,26.0,04_,2825
TIME,0.1:24,-,0.1:24,01124,2825
CALORIES,10,,10,10,2825
SPEED,2.1.2,-,21.2,212,2826
WATTS,1-,,1-,21_,2826
CADENCE,57,1_,57,57,2826
DISTANCE,0.42,-,26.0,0_,2826
TIME,01:24,-,h2.1 0,0124,2826
CALORIES,10,,10,10,2826
SPEED,21.2,-,21.2,212,2827
WATTS,674,211,1-,211,2827
CADENCE,57,1,57,57,2827
DISTANCE,0.42,-,26.0,04_,2827
TIME,01:24,-,0.1:24,01124,2827
CALORIES,10,,10,10,2827
SPEED,21.2,-,212,212,2828
WATTS,314,211,1-,211,2828
CADENCE,,__,57,51,2828
DISTANCE,0.42,-,26.0,04_,2828
TIME,07:24,-,h2:1 0,01124,2828
CALORIES,10,,10,10,2828
SPEED,2.1.2,-,21.2,212,2829
WATTS,1-,,1-,21_,2829
CADENCE,57,11,97,91,2829
DISTANCE,0.42,-,26.0,04_,2829
TIME,01:24,,h2:1 0,01124,2829
CALORIES,10,,10,10,2829
SPEED,212,-,2,212,2830
WATTS,274,211,1-,211,2830
CADENCE,,9,,51,2830
DISTANCE,0.42,-,2h 0,04_,2830
TIME,0.1:25,,h21 0,0124,2830
CALORIES,10,,10,10,2830
SPEED,212,n,21.2,212,2831
WATTS,214,211,1-,211,2831
CADENCE,57,_,57,57,2831
DISTANCE,0.42,-,2H 0,04_,2831
TIME,07:25,-,521.0,012_,2831
CALORIES,10,,10,10,2831
SPEED,2.1.2,-,21.2,_12,2832
WATTS,314,211,1-,211,2832
CADENCE,57,1,57,51,2832
DISTANCE,0.42,-,26.0,04_,2832
TIME,0.1:25,-,0.:25,01125,2832
CALORIES,10,,10,10,2832
SPEED,212,-,21.2,212,2833
WATTS,1-,,1-1,21_,2833
CADENCE,57,1,57,57,2833
DISTANCE,0.42,-,042,04_,2833
TIME,0.1:25,,521.0,0125,2833
CALORIES,10,,10,10,2833
SPEED,21.2,-,21.2,212,2834
