landmark,pp1,ss1,pp2,ss2,frame
SPEED,0.0,-,00,00,400
WATTS,,,0,0_,400
CADENCE,,__,C3,0,400
DISTANCE,,-,000,00_,400
TIME,00:04,-,60.00,0004,400
CALORIES,,,0,0,400
SPEED,0.0,-,00,00,401
WATTS,,,0,0_,401
CADENCE,,0,,0,401
DISTANCE,,-,0.00,00_,401
TIME,00:04,-,00.04,0004,401
CALORIES,,,0,0,401
SPEED,0.0,0,00,00,402
WATTS,,,0,0_,402
CADENCE,,0,,0,402
DISTANCE,,-,000,00_,402
TIME,00:04,-,00.04,0004,402
CALORIES,,,0,0,402
SPEED,0.0,-,0.0,00,403
WATTS,,,0,0_,403
CADENCE,,0,,0,403
DISTANCE,,-,000,00_,403
TIME,00:04,,0004,n0104,403
CALORIES,,,0,0,403
SPEED,0.0,-,00,00,404
WATTS,,,0,0_,404
CADENCE,,_,C3,0,404
DISTANCE,,-,000,00_,404
TIME,00:04,-,00.04,n004,404
CALORIES,,,0,0,404
SPEED,0.0,-,0.0,00,405
WATTS,,,0,0_,405
CADENCE,,0,,0,405
DISTANCE,,-,0.00,00_,405
TIME,00:04,,00-04,n004,405
CALORIES,,,0,0,405
SPEED,0.0,-,00,00,406
WATTS,,,0,0_,406
CADENCE,,0,,0,406
DISTANCE,,-,000,00_,406
TIME,00:04,,00-04,n004,406
CALORIES,,,0,0,406
SPEED,0.0,-,0.0,00,407
WATTS,,,0,0_,407
CADENCE,,_,C3,0,407
DISTANCE,,-,000,00_,407
TIME,00:04,-,0004,n004,407
CALORIES,,,0,0,407
SPEED,0.0,-,00,00,408
WATTS,,,0.,0_,408
CADENCE,,_1,C3,0,408
DISTANCE,,-,000,00_,408
TIME,00:0,-,00.04,0004,408
CALORIES,,,0,0,408
SPEED,0.0,-,00,00,409
WATTS,,,0,0_,409
CADENCE,,_,C3,0,409
DISTANCE,,-,000,00_,409
TIME,00:04,-,60.00,0004,409
CALORIES,,,0,0,409
SPEED,0.0,-,0.0,00,410
WATTS,,,0,0_,410
CADENCE,,0,,0,410
DISTANCE,,-,0.00,00_,410
TIME,00:04,-,00:04,00104,410
CALORIES,,,0,0,410
SPEED,0.0,-,0.0,00,411
WATTS,,,0,0_,411
CADENCE,,0,,0,411
DISTANCE,,-,0.00,00_,411
TIME,00:04,-,00.04,n004,411
CALORIES,,,0,0,411
SPEED,0.0,-,00,00,412
WATTS,,,0,0_,412
CADENCE,,_,C3,01,412
DISTANCE,,-,000,00_,412
TIME,00:04,-,6000,0004,412
CALORIES,,,0,0,412
