landmark,pp1,ss1,pp2,ss2,frame
SPEED,19.0,-,5,190,3500
WATTS,159,,159,15_,3500
CADENCE,,_,,91,3500
DISTANCE,0.54,-,h50,05_,3500
TIME,0.1:47,-,01.47,0147,3500
CALORIES,13,,13,13,3500
SPEED,19.0,-,061,190,3501
WATTS,159,159,159,159,3501
CADENCE,,9,,51,3501
DISTANCE,0.54,-,h50,0_,3501
TIME,01:47,-,07:47,01147,3501
CALORIES,13,,13,13,3501
SPEED,19.0,-,5,190,3502
WATTS,159,159,159,159,3502
CADENCE,,_1,LT,51,3502
DISTANCE,0.54,-,650,05_,3502
TIME,0.1:47,-,0 1.47,0147,3502
CALORIES,13,,13,13,3502
SPEED,19.0,-,19.0,190,3503
WATTS,159,,159,15_,3503
CADENCE,5,11111,LT,51,3503
DISTANCE,0.54,-,650,05_,3503
TIME,07:47,-,0.147,0147,3503
CALORIES,13,,13,13,3503
SPEED,19.0,-,15.0,190,3504
WATTS,159,,159,15_,3504
CADENCE,,_1,UT,51,3504
DISTANCE,0.54,-,650,05_,3504
TIME,01:47,-,0 1:47,0147,3504
CALORIES,13,,13,13,3504
SPEED,19.0,-,,190,3505
WATTS,651,,159,15_,3505
CADENCE,5,__,U7,51,3505
DISTANCE,0.54,-,650,05_,3505
TIME,071:47,-,01:47,01147,3505
CALORIES,13,,13,13,3505
SPEED,19.0,-,06,190,3506
WATTS,159,159,159,159,3506
CADENCE,5,11_1,5,51,3506
DISTANCE,0.54,-,650,05_,3506
TIME,0.1:47,-,Lh.1 0,0147,3506
CALORIES,13,,13,13,3506
SPEED,19.0,-,,180,3507
WATTS,159,,159,15_,3507
CADENCE,5,_1,,51,3507
DISTANCE,0.54,-,650,05_,3507
TIME,01:47,-,Lh 0,0147,3507
CALORIES,13,,13,13,3507
SPEED,19.0,-,19.0,190,3508
WATTS,159,159,159,159,3508
CADENCE,,__1,,51,3508
DISTANCE,0.54,-,h50,05_,3508
TIME,0.1:47,-,0 1:47,01147,3508
CALORIES,13,,13,13,3508
SPEED,19.0,-,190,190,3509
WATTS,651,,159,15_,3509
CADENCE,5,111_,U7,51,3509
DISTANCE,0.54,-,650,054,3509
TIME,01:47,-,0.1:47,01147,3509
CALORIES,13,,13,13,3509
SPEED,19.0,-,19,190,3510
WATTS,159,,159,15_,3510
CADENCE,,_1,,51,3510
DISTANCE,0.54,-,650,0_,3510
TIME,01:47,0a,0147,0147,3510
CALORIES,13,,13,13,3510
SPEED,19.0,-,,190,3511
WATTS,651,,65,15_,3511
CADENCE,,111,,51,3511
DISTANCE,0.54,-,h50,054,3511
TIME,01:47,-,0.147,0147,3511
CALORIES,13,,13,13,3511
SPEED,19.0,-,0,190,3512
WATTS,159,,159,15_,3512
CADENCE,5,_11,,51,3512
DISTANCE,0.54,-,h50,0_,3512
TIME,01:47,-,0 1:47,01147,3512
CALORIES,13,,EI,13,3512
SPEED,0'61,-,1,190,3513
WATTS,159,,159,15_,3513
CADENCE,5,5,U7,51,3513
DISTANCE,0.54,-,650,05_,3513
TIME,07:47,-,0 1.47,0147,3513
CALORIES,13,,13,13,3513
SPEED,19.0,-,10,190,3514
WATTS,159,,159,15_,3514
CADENCE,,_1,U7,51,3514
DISTANCE,0.54,-,650,0_,3514
TIME,01:47,_11_1,Lh1 0,0147,3514
CALORIES,13,,13,13,3514
SPEED,19.0,-,19.0,190,3515
WATTS,651,,159,15_,3515
CADENCE,5,1__,U,51,3515
DISTANCE,0.54,-,h50,05_,3515
TIME,01:47,-,0,01147,3515
CALORIES,13,,13,13,3515
SPEED,19.0,-,19.0,190,3516
WATTS,159,,651,15_,3516
CADENCE,5,1_1,U7,51,3516
DISTANCE,0.54,-,650,05_,3516
TIME,01:47,-,07.47,0147,3516
CALORIES,13,,13,13,3516
SPEED,19.0,-,19,190,3517
WATTS,159,,651,15_,3517
CADENCE,5,11,UT,51,3517
DISTANCE,0.54,-,h50,05_,3517
TIME,0.1:47,-,0.147,0147,3517
CALORIES,13,,13,13,3517
SPEED,19.0,-,13.0,190,3518
WATTS,159,,651,15_,3518
CADENCE,,,LI,51,3518
DISTANCE,0.54,-,650,05_,3518
TIME,0.1:47,-,Lh1 0,0147,3518
CALORIES,13,,13,13,3518
SPEED,19.0,-,,190,3519
WATTS,651,,159,15_,3519
CADENCE,5,_,,51,3519
DISTANCE,0.54,-,h50,054,3519
TIME,0.1:47,-,0,01147,3519
CALORIES,13,,13,13,3519
SPEED,19.0,-,19.0,190,3520
WATTS,651,,159,15_,3520
CADENCE,5,_1,U,51,3520
DISTANCE,0.54,-,h50,054,3520
TIME,07:47,-,0 1:47,01147,3520
CALORIES,13,,13,13,3520
SPEED,19.0,-,,190,3521
WATTS,159,,159,15_,3521
CADENCE,,_,U,51,3521
