landmark,pp1,ss1,pp2,ss2,frame
SPEED,13.0,-,0E1,130,600
WATTS,62,62,62,62,600
CADENCE,35,,35,35,600
DISTANCE,,-,Li.LiC,002,600
TIME,00:10,-,00,0_10,600
CALORIES,,,c3,0,600
SPEED,13.0,-,13.0,130,601
WATTS,,,,6_,601
CADENCE,35,_,35,35,601
DISTANCE,,-,0.02,00_,601
TIME,00:10,-,00,0010,601
CALORIES,,,C3,0,601
SPEED,13.0,-,13.0,130,602
WATTS,,,,6_,602
CADENCE,35,_,5E,35,602
DISTANCE,0.02,-,002,002,602
TIME,00:10,-,00,0010,602
CALORIES,,,0,0,602
SPEED,13.0,-,130,130,603
WATTS,,,62,6_,603
CADENCE,35,,SE,35,603
DISTANCE,0.02,-,U.Uic,002,603
TIME,00:,-,00.,0010,603
CALORIES,,,c3,0,603
SPEED,13.0,-,130,130,604
WATTS,62,62,62,62,604
CADENCE,SE,_,35,35,604
DISTANCE,0.02,-,0 Lic,002,604
TIME,00:10,-,00:,00110,604
CALORIES,,,.0,0,604
SPEED,0'EI,-,0E1,130,605
WATTS,,,,6_,605
CADENCE,SE,11,35,35,605
DISTANCE,,-,0.02,00_,605
TIME,00:10,-,00,0010,605
CALORIES,,,0,0,605
SPEED,13.0,-,13.0,130,606
WATTS,,,,6_,606
CADENCE,35,11,5E,35,606
DISTANCE,0.00,-,200,00_,606
TIME,00:10,-,00,0010,606
CALORIES,,,0,0,606
SPEED,13.0,-,0E1,130,607
WATTS,,62,62,62,607
CADENCE,SE,1,35,35,607
DISTANCE,0.02,-,0.02,00_,607
TIME,00:10,-,00:,00110,607
CALORIES,,,.0,0,607
SPEED,13.0,-,13.0,13c1,608
WATTS,,,,6_,608
CADENCE,SE,1,39,39,608
DISTANCE,0.00,-,0.02,00_,608
TIME,00:10,-,00,0010,608
CALORIES,,,0,0,608
SPEED,13.0,-,,19c1,609
WATTS,,,88,8_,609
CADENCE,35,_1,38,38,609
DISTANCE,LLIL,-,LLC,0_,609
TIME,00:10,-,00:,00110,609
CALORIES,,,C3,0,609
SPEED,19.0,-,19.0,190,610
WATTS,,,08,8_,610
CADENCE,BE,_,38,38,610
DISTANCE,0.02,-,L.LC,002,610
TIME,00:17,-,00.,001n,610
CALORIES,,,,0,610
SPEED,14.7,-,,190,611
WATTS,,,,8_,611
CADENCE,38,,38,38,611
DISTANCE,LALIF,-,,002,611
TIME,00:11,-,00.,0011,611
CALORIES,,,c3,0,611
SPEED,14.7,-,19.1,191,612
WATTS,,,1-,7_,612
CADENCE,38,,BE,38,612
DISTANCE,0.02,-,002,00_,612
TIME,00:11,-,00.,00111,612
CALORIES,,,c3,0,612
SPEED,14.71,-,19.1,191,613
WATTS,,_,74,71,613
CADENCE,38,_,38,38,613
DISTANCE,0.02,-,L LiC,0_,613
TIME,00:1,,00.1,0011,613
CALORIES,,,,0,613
SPEED,14.71,-,19,191,614
WATTS,,,,7_,614
CADENCE,38,,38,38,614
DISTANCE,0.02,-,002,00_,614
TIME,00:11,,00:,0_111,614
CALORIES,,,C3,0,614
SPEED,14.71,-,19,191,615
WATTS,14,71,74,71,615
CADENCE,38,_111,38,38,615
DISTANCE,0.02,-,002,00_,615
TIME,00:11,-,00: 11,0l1111,615
CALORIES,,,,0,615
SPEED,14.1,-,13.1,191,616
WATTS,,,,7_,616
CADENCE,38,1,38,38,616
DISTANCE,0.02,-,FF1,0_,616
TIME,00:1,-,0011,0011,616
CALORIES,,,0,0,616
SPEED,14.71,-,14,141,617
WATTS,,,7-,7_,617
CADENCE,38,__1,38,38,617
DISTANCE,,-,200,00_,617
TIME,00:11,-,00.,0011,617
CALORIES,,,0,0,617
SPEED,14.7,-,IHi,141,618
WATTS,,,,7_,618
CADENCE,38,_,38,38,618
DISTANCE,0.02,-,0.02,00_,618
TIME,00:11,,00.11,0011,618
CALORIES,,,C3,0,618
SPEED,14.1,-,14.1,191,619
WATTS,,71,7-,71,619
CADENCE,38,_1,BE,38,619
DISTANCE,0.02,-,,002,619
TIME,,-,00:,00111,619
CALORIES,0,,0,0,619
SPEED,14.1,-,19,191,620
WATTS,,,,7_,620
CADENCE,38,1,39,_8,620
DISTANCE,0.02,-,L.Uc,002,620
TIME,00:,-,00.11,0011,620
CALORIES,,,,0,620
SPEED,14.1,-,14,141,621
WATTS,,,,7_,621
CADENCE,38,,38,38,621
DISTANCE,0.02,-,002,00_,621
TIME,00:1,-,00,0011,621
CALORIES,,,0,0,621
SPEED,14.1,-,14.1,141,622
WATTS,,,,7_,622
CADENCE,38,,38,38,622
DISTANCE,0.02,-,,002,622
TIME,00:11,-,00.11,0011,622
CALORIES,,,,0,622
SPEED,14.1,-,14.1,141,623
WATTS,,,74,7_,623
CADENCE,38,_1,36,38,623
DISTANCE,0.02,0_,0.0c,002,623
TIME,00,-,00.1,0011,623
CALORIES,,,0,0,623
SPEED,14.1,-,14.1,141,624
WATTS,,71,7-,71,624
CADENCE,38,__,BE,38,624
DISTANCE,0.02,-,LLiC,0_,624
TIME,00:11,-,00:,00111,624
CALORIES,,,0,0,624
SPEED,14.1,-,14,141,625
WATTS,,,,7_,625
CADENCE,38,_1111,38,38,625
DISTANCE,0.02,-,002,00_,625
TIME,00:11,-,00.,0011,625
CALORIES,,,0,0,625
SPEED,14.1,a,14,141,626
WATTS,,,,7_,626
CADENCE,38,_1,36,38,626
DISTANCE,0.02,-,002,00_,626
TIME,00:11,-,00,0011,626
CALORIES,,,0,0,626
SPEED,14.1,-,14,141,627
WATTS,,71,1-,71,627
CADENCE,38,_1111,38,38,627
DISTANCE,0.02,-,Li.LIC,00_,627
TIME,00,-,00.,0011,627
CALORIES,,,0,0,627
SPEED,14.1,-,IHi,141,628
WATTS,1-,711,7-,7_,628
CADENCE,38,1111,8E,_8,628
DISTANCE,0.02,-,Li.LiC,002,628
TIME,00:1,-,00.,0_111,628
CALORIES,,,cJ,0,628
SPEED,14.1,-,lHi,141,629
WATTS,11,71,7-,71,629
CADENCE,38,_1,BE,38,629
DISTANCE,0.02,-,,00_,629
TIME,00:11,-,00.,00111,629
CALORIES,,,0,0,629
SPEED,14.1,-,14,141,630
WATTS,,,,7_,630
CADENCE,38,_,38,38,630
DISTANCE,0.02,-,0.02,00_,630
TIME,00:11,-,00.,00111,630
CALORIES,,,0,0,630
SPEED,14.1,-,14,141,631
WATTS,11,71,7-,71,631
CADENCE,38,111,38,_8,631
DISTANCE,LALIC,-,U.U1C,08,631
TIME,00:11,-,00.11,0011,631
CALORIES,,,0,n,631
SPEED,14.1,-,14.1,141,632
WATTS,,71,74,71,632
CADENCE,38,3,38,38,632
DISTANCE,0.02,-,002,00_,632
TIME,00:11,-,:00,00111,632
CALORIES,,,0,0,632
SPEED,14.1,-,14,141,633
WATTS,,,,7_,633
CADENCE,38,111,38,38,633
DISTANCE,0.02,-,0.0c,002,633
TIME,00:11,-,01.00,0011,633
CALORIES,,,,0,633
SPEED,14.1,a,14,141,634
WATTS,,71,74,71,634
CADENCE,38,,38,38,634
DISTANCE,0.02,-,200,002,634
TIME,00:11,-,0011,0011,634
CALORIES,,,0,0,634
SPEED,14.1,-,14,141,635
WATTS,,,,7_,635
CADENCE,38,,38,38,635
DISTANCE,0.02,-,Li.LIC,00_,635
TIME,00:11,-,00.11,0011,635
CALORIES,,,C3,0,635
SPEED,14.1,-,lHi,141,636
WATTS,,71,7-,71,636
CADENCE,38,_,36,38,636
DISTANCE,0.02,-,0.02,00_,636
TIME,00:1,-,00.1 1,0011,636
CALORIES,,,0,0,636
SPEED,14.7,-,Ehi,14_,637
WATTS,,,,7_,637
CADENCE,38,_,38,38,637
DISTANCE,LLLIL,-,,0_,637
TIME,00:11,-,00.11,0011,637
CALORIES,,,,0,637
SPEED,14.9,-,6Hi,14_,638
WATTS,,,03,01_,638
CADENCE,18,,98,98,638
DISTANCE,,-,002,0_,638
TIME,00:11,-,00.1,0011,638
CALORIES,,,C3,0,638
SPEED,14.9,-,6hi,149,639
WATTS,,,88,8_,639
CADENCE,80,,30,901,639
DISTANCE,0.02,-,20.0,00_,639
TIME,003,-,00.,00111,639
CALORIES,,,C3,0,639
SPEED,14.9,-,5 hi,149,640
WATTS,,,88,8_,640
CADENCE,40,,40,140,640
DISTANCE,0.02,-,FF,002,640
TIME,00,-,00.,001,640
CALORIES,,,0,0,640
SPEED,14.9,-,5hi,149,641
WATTS,,_,88,8_,641
CADENCE,40,_,0h,40,641
DISTANCE,LLIL,-,FF,0_,641
TIME,,,00,0012,641
CALORIES,,,c3,0,641
SPEED,6HI,-,5hi,149,642
WATTS,82,71,82,82,642
CADENCE,40,,40,40,642
DISTANCE,0.02,-,200,002,642
TIME,00:12,-,.00,0_112,642
CALORIES,0,,0,0,642
SPEED,6Hi,-,5 hi,149,643
WATTS,,,82,8_,643
CADENCE,40,,40,40,643
DISTANCE,,-,L UC,__,643
TIME,00:12,-,00,0012,643
CALORIES,,,0,0,643
SPEED,14.9,-,14.9,149,644
WATTS,82,82,82,82,644
CADENCE,40,1,40,40,644
DISTANCE,0.02,-,Li.LiC,002,644
TIME,00:12,-,00.,00112,644
CALORIES,,,0,0,644
SPEED,6hi,-,5 hi,149,645
WATTS,,,82,8_,645
CADENCE,40,_,90,90,645
DISTANCE,200,-,Li Lic,002,645
TIME,00:12,,00.,0012,645
CALORIES,,,0,0,645
SPEED,6HI,-,6 hi,149,646
WATTS,,,82,8_,646
CADENCE,40,,90,90,646
DISTANCE,0.02,-,002,00_,646
TIME,00:712,,00.1,0012,646
CALORIES,,,C3,0,646
SPEED,14.9,-,6hi,149,647
WATTS,,,,8_,647
CADENCE,40,_,90,90,647
DISTANCE,LLIL,-,FF,0_,647
TIME,00:12,,00:,00112,647
CALORIES,,,0,0,647
SPEED,6HI,-,E hi,149,648
WATTS,82,,82,8_,648
CADENCE,40,,40,40,648
DISTANCE,200,-,HF,00_,648
TIME,00:12,,00:,00112,648
CALORIES,,,0,0,648
SPEED,6Hi,-,5hi,149,649
WATTS,82,82,82,82,649
CADENCE,40,,90,90,649
DISTANCE,0.02,-,0.02,00_,649
TIME,00:12,-,.00,0012,649
CALORIES,,,c3,0,649
SPEED,14.9,-,6hi,149,650
WATTS,,,82,8_,650
CADENCE,40,,90,90,650
DISTANCE,0.02,-,0.02,00_,650
TIME,00:12,-,00.1,0012,650
CALORIES,,,C3,0,650
SPEED,14.9,-,14.9,149,651
WATTS,,,,8_,651
CADENCE,40,_11,40,40,651
DISTANCE,0.02,-,0.02,00_,651
TIME,00:12,-,00.,0_112,651
CALORIES,,,C3,0,651
SPEED,6Hi,-,6 hi,149,652
WATTS,,,82,8_,652
CADENCE,40,_,40,40,652
DISTANCE,0.02,-,002,00_,652
TIME,00:12,-,:00,00112,652
CALORIES,,,C3,0,652
SPEED,14.9,-,5hi,149,653
WATTS,,,82,8_,653
CADENCE,40,_,40,40,653
DISTANCE,,-,002,0_,653
TIME,00:12,,00:,00112,653
CALORIES,,,C3,0,653
SPEED,6HI,-,6 hI,149,654
WATTS,82,82,82,82,654
CADENCE,40,,40,40,654
DISTANCE,0.06,-,200,00_,654
TIME,00:12,,0012,0012,654
CALORIES,,,0,0,654
SPEED,14.9,-,5 hi,149,655
WATTS,82,,82,8_,655
CADENCE,40,,40,40,655
DISTANCE,,-,Li LiC,__,655
TIME,00:12,-,:00,00112,655
CALORIES,,,0,0,655
SPEED,6HI,-,14.9,149,656
WATTS,82,82,82,82,656
CADENCE,40,_1,40,40,656
DISTANCE,200,-,L.LI-,0_,656
TIME,00:12,-,00:,00112,656
CALORIES,0,,0,0,656
SPEED,6HI,-,6 hi,149,657
WATTS,,,82,8_,657
CADENCE,40,,40,40,657
DISTANCE,0.03,-,0.02,00_,657
TIME,00:12,,00.,0_112,657
CALORIES,,,C3,0,657
SPEED,6HI,-,6hI,149,658
WATTS,,,82,8_,658
CADENCE,40,,0h,40,658
DISTANCE,,-,600,0_,658
TIME,00:12,-,00.,00112,658
CALORIES,,,0,0,658
SPEED,14.9,-,6.61,149,659
WATTS,82,,82,8_,659
CADENCE,40,_111,06,40,659
DISTANCE,,-,600,__,659
TIME,00:12,-,00:,00112,659
CALORIES,,,,0,659
SPEED,6HI,a,6hi,149,660
WATTS,,,82,8_,660
CADENCE,40,,0h,40,660
DISTANCE,0.03,-,0.03,00_,660
TIME,00:12,-,00,0012,660
CALORIES,,,0,0,660
SPEED,6HI,-,14.9,149,661
WATTS,82,82,82,82,661
CADENCE,40,,40,40,661
DISTANCE,0.03,-,0.03,0_,661
TIME,00:12,,00.,0012,661
CALORIES,,,0,0,661
SPEED,6HI,-,6 hi,149,662
WATTS,,,82,8_,662
CADENCE,40,_111,40,40,662
DISTANCE,0.03,-,0.03,00_,662
TIME,00:12,-,00:,00112,662
CALORIES,,,,0,662
SPEED,6Hl,-,6hi,149,663
WATTS,82,,82,8_,663
CADENCE,40,_111,40,40,663
DISTANCE,0.03,-,600,00_,663
TIME,00:12,-,00,0012,663
CALORIES,,,0,0,663
SPEED,14.9,-,6hi,14_,664
WATTS,82,,82,8_,664
CADENCE,40,,40,40,664
DISTANCE,0.03,-,600,00_,664
TIME,00:12,-,00.1,0012,664
CALORIES,,,,0,664
SPEED,6Hi,-,Fhi,149,665
WATTS,,,82,8_,665
CADENCE,40,,40,40,665
DISTANCE,0.03,-,600,0_,665
TIME,00:12,-,00.,00112,665
CALORIES,,,0,0,665
SPEED,6HI,-,6 hi,149,666
WATTS,82,,82,8_,666
CADENCE,40,1,0h,40,666
DISTANCE,0.1,-,0.03,00_,666
TIME,00:12,-,00.1,0012,666
CALORIES,,,c3,0,666
SPEED,14.9,-,,199,667
WATTS,82,,82,8_,667
CADENCE,40,,0h,401,667
DISTANCE,0.03,-,60.0,002,667
TIME,00:12,-,00.,0012,667
CALORIES,,,0,0,667
SPEED,14.5,-,,1988,668
WATTS,,,88,8_,668
CADENCE,42,,40,4_1,668
DISTANCE,0.03,-,600,0__,668
TIME,00:12,-,00,0012,668
CALORIES,,,0,0,668
SPEED,15.6,-,,198,669
WATTS,31,,88,8_,669
CADENCE,42,,42,42,669
DISTANCE,0.03,-,600,003,669
TIME,00:12,-,00.,00112,669
CALORIES,,,c3,0,669
SPEED,15.6,-,,198,670
WATTS,98,9_,88,88,670
CADENCE,42,_,42,42,670
DISTANCE,7.,-,0.03,00_,670
TIME,00:12,-,00:,0011_,670
CALORIES,,,0,0,670
SPEED,15.6,-,,198,671
WATTS,96,9_,98,98,671
CADENCE,42,1,42,42,671
DISTANCE,0.03,-,600,0_,671
TIME,00:13,,00.13,0_113,671
CALORIES,,,C3,0,671
SPEED,15.6,-,15.6,156,672
WATTS,96,,96,9_,672
CADENCE,42,,26,42,672
DISTANCE,0.03,-,0.03,00_,672
TIME,00:13,,00.13,001_,672
CALORIES,,,C3,0,672
SPEED,15.6,-,15.6,156,673
WATTS,96,,96,9_,673
CADENCE,42,,2h,421,673
DISTANCE,,-,600,0_,673
TIME,00:13,-,00.,0013,673
CALORIES,,,C3,0,673
SPEED,15.6,-,19.6,196,674
WATTS,96,,96,9_,674
CADENCE,42,_111,42,42,674
DISTANCE,0.03,-,600,00_,674
TIME,00:13,-,00.,0013,674
CALORIES,,,0,0,674
SPEED,15.6,-,19,196,675
WATTS,96,,96,9_,675
CADENCE,42,,2h,42,675
DISTANCE,7.,-,600,00_,675
TIME,00:13,-,00:,001131,675
CALORIES,,,F3,0,675
SPEED,15.6,-,15.6,196,676
WATTS,96,,96,9_,676
CADENCE,42,11__,42,4_,676
DISTANCE,0.03,-,60.0,00_,676
TIME,00:13,-,00:,00113,676
