landmark,pp1,ss1,pp2,ss2,frame
SPEED,20.8,-1,20.8,2081,2700
WATTS,205,,705,_0_,2700
CADENCE,56,,56,56,2700
DISTANCE,6E0,7__,660,039,2700
TIME,01:20,-,021.0,012n,2700
CALORIES,,,07,9,2700
SPEED,802,-1,20.8,2081,2701
WATTS,205,,205,20_,2701
CADENCE,56,1,56,56,2701
DISTANCE,0.39,-,6E0,03_,2701
TIME,01:20,-,021.0,0120,2701
CALORIES,,,,9,2701
SPEED,20.8,-,20.0,208,2702
WATTS,205,,205,20_,2702
CADENCE,56,1,56,56,2702
DISTANCE,0.39,-,6E0,03_,2702
TIME,07:20,-,02.10,0120,2702
CALORIES,,,07,9,2702
SPEED,20.8,-,20.8,208,2703
WATTS,205,,205,20_,2703
CADENCE,56,_,55,56,2703
DISTANCE,660,-,6E0,039,2703
TIME,0.1:20,-,01.20,0120,2703
CALORIES,,,07,9,2703
SPEED,802,-,20.8,208,2704
WATTS,205,,205,20_,2704
CADENCE,56,,56,56,2704
DISTANCE,0.39,-,6E0,038,2704
TIME,0.1:20,-,0120,0120,2704
CALORIES,,,07,9,2704
SPEED,20.8,-,20.3,208,2705
WATTS,205,205,205,205,2705
CADENCE,56,,56,u,2705
DISTANCE,0.39,-,660,03_,2705
TIME,01:20,-,02.0,0120,2705
CALORIES,,,,9,2705
SPEED,20.8,-1,6.02,2081,2706
WATTS,205,205,205,205,2706
CADENCE,56,111,55,561,2706
DISTANCE,0.39,-,6E'0,038,2706
TIME,0.1:20,-,021.0,0120,2706
CALORIES,,,,9,2706
SPEED,802,-,20.8,208,2707
WATTS,205,,205,20_,2707
CADENCE,56,1,56,561,2707
DISTANCE,660,-,6E0,038,2707
TIME,01:20,-,0.120,0120,2707
CALORIES,,,07,9,2707
SPEED,20.8,-1,20.2,2081,2708
WATTS,205,,205,20_,2708
CADENCE,56,111,55,56,2708
DISTANCE,0.39,-,560,03_,2708
TIME,0.1:20,-,021.0,0120,2708
CALORIES,,,07,9,2708
SPEED,802,-,20.3,208,2709
WATTS,-05,,205,20_,2709
CADENCE,56,111,56,56,2709
