landmark,pp1,ss1,pp2,ss2,frame
SPEED,2.1.2,-,21.2,212,3000
WATTS,1-1,,1-,21_,3000
CADENCE,57,_,57,51,3000
DISTANCE,0.45,-,5h 0,04_,3000
TIME,0.1:30,-,0E10,0130,3000
CALORIES,,,1 :,11,3000
SPEED,21.2,-,21.2,212,3001
WATTS,,211,1-,211,3001
CADENCE,57,_1,57,51,3001
DISTANCE,0.45,-,5h0,046,3001
TIME,0.1:30,-,0E:0,01130,3001
CALORIES,,,1 :,11,3001
SPEED,2.1.2,-,21.2,212,3002
WATTS,1-,1,1-,21_,3002
CADENCE,57,_11,57,57,3002
DISTANCE,0.45,-,5h0,04_,3002
TIME,01:30,-,06.10,0130,3002
CALORIES,,,,11,3002
SPEED,2.1.2,-,21.2,212,3003
WATTS,1-,,,21_,3003
CADENCE,57,_1,57,57,3003
DISTANCE,0.45,-,5h 0,04_,3003
TIME,01:30,-,0E10,0130,3003
CALORIES,,,1:,11,3003
SPEED,21.2,-,21.2,212,3004
WATTS,374,,1-,21_,3004
CADENCE,57,_,57,51,3004
DISTANCE,0.45,-,5h 0,04_,3004
TIME,01:30,-,0E.10,0130,3004
CALORIES,,,1,11,3004
SPEED,2.1.2,-,21.2,212,3005
WATTS,374,211,1-,21_,3005
CADENCE,,_1,65,51,3005
DISTANCE,0.45,-,5h0,04_,3005
TIME,01:30,-,0E:10,01130,3005
CALORIES,,,,11,3005
SPEED,2.1.2,-,21.2,212,3006
WATTS,274,211,-1,211,3006
CADENCE,,_11,57,51,3006
DISTANCE,0.45,-,5h0,046,3006
TIME,01:30,-,0E10,0130,3006
CALORIES,,,1,11,3006
SPEED,2.1.2,-,21.2,212,3007
WATTS,15,,,21_,3007
CADENCE,57,_,57,51,3007
DISTANCE,0.45,-,5h0,04_,3007
TIME,01:30,,0E:10,01130,3007
CALORIES,,,1,11,3007
SPEED,2.1.2,-,21.2,212,3008
WATTS,974,211,,21_,3008
CADENCE,57,11,57,57,3008
DISTANCE,0.45,-,560,04_,3008
TIME,01:30,-,0E1.0,0130,3008
CALORIES,,,1 1,11,3008
SPEED,21.2,-,2.12,212,3009
WATTS,274,211,-,211,3009
CADENCE,57,_1,57,57,3009
DISTANCE,0.45,-,560,04_,3009
TIME,01:30,,0E.10,0130,3009
CALORIES,,,,11,3009
SPEED,21.2,-,2.12,212,3010
WATTS,274,211,-1,211,3010
CADENCE,57,_,65,51,3010
DISTANCE,0.45,-,560,__,3010
TIME,01:37,-,LEIO,0137,3010
CALORIES,,,1 1,11,3010
SPEED,2.1.2,-,21.2,212,3011
WATTS,1-,,1-,21_,3011
CADENCE,57,_,57,57,3011
DISTANCE,0.45,-,560,046,3011
TIME,01:37,,E10,0131,3011
CALORIES,,,11,11,3011
SPEED,2.1.2,-,21.2,212,3012
WATTS,274,211,,211,3012
CADENCE,57,_1,57,57,3012
DISTANCE,0.45,-,5h0,04_,3012
TIME,01:37,-,E10,0131,3012
CALORIES,,,1,11,3012
SPEED,212,-1,21.2,2121,3013
WATTS,1-,,1-,21_,3013
CADENCE,57,_1,57,57,3013
DISTANCE,0.45,-,560,0_,3013
TIME,01:31,08,E.10,0131,3013
CALORIES,,,1,11,3013
SPEED,2.1.2,n,21.2,212,3014
WATTS,,211,-,21_,3014
CADENCE,57,11,57,57,3014
DISTANCE,0.45,-,0.45,04_,3014
TIME,01:31,,IE10,01131,3014
CALORIES,,,,11,3014
SPEED,2.1.2,n,TH,212,3015
WATTS,,211,1-,211,3015
CADENCE,57,_1,57,51,3015
DISTANCE,0.45,-,56.0,04_,3015
TIME,01:31,-,E10,0131,3015
CALORIES,,,11,11,3015
SPEED,2.1.2,-,1.2,212,3016
WATTS,1-,_,1-,21_,3016
CADENCE,57,1,65,51,3016
DISTANCE,0.45,-,5h0,04_,3016
TIME,01:37,-,IE:10,01131,3016
CALORIES,,,i i,11,3016
SPEED,2.1.2,-,212,212,3017
WATTS,374,211,1-,21_,3017
CADENCE,57,1111,57,51,3017
DISTANCE,0.45,-,5h0,04_,3017
TIME,01:31,-,1E10,0131,3017
CALORIES,,,1 1,11,3017
SPEED,2.1.2,-,21.2,212,3018
WATTS,314,211,-1,21_,3018
CADENCE,57,1,57,51,3018
DISTANCE,0.45,-,5h0,04_,3018
TIME,01:31,-,1E10,0131,3018
CALORIES,,,,11,3018
SPEED,2.1.2,-,21.2,212,3019
WATTS,,211,1-,211,3019
CADENCE,57,_,57,51,3019
DISTANCE,0.45,-,5h0,046,3019
TIME,01:31,-,IE:10,01131,3019
CALORIES,,,1 1,11,3019
SPEED,2.1.2,-,21.2,212,3020
WATTS,,211,11-1,211,3020
CADENCE,57,11,57,57,3020
DISTANCE,0.45,-,5h0,046,3020
TIME,01:37,-,E0,0131,3020
CALORIES,,,1,11,3020
SPEED,2.1.2,-,21.2,212,3021
WATTS,374,211,-1,21_,3021
CADENCE,5.,111,57,51,3021
DISTANCE,0.45,-,5h0,04_,3021
TIME,01:31,,1E10,0131,3021
CALORIES,,,1,11,3021
SPEED,2.1.2,-,21.2,212,3022
WATTS,,_,,2p_,3022
CADENCE,57,1,57,51,3022
DISTANCE,0.45,-,5h0,04_,3022
TIME,01:31,-,IE:10,01131,3022
CALORIES,,,1 1,11,3022
SPEED,2.1.2,-,21.2,212,3023
WATTS,374,211,1-,211,3023
CADENCE,57,_,57,51,3023
DISTANCE,0.45,-,0.46,04_,3023
TIME,01:31,-,E10,0131,3023
CALORIES,,,,11,3023
SPEED,21.2,-,21.2,212,3024
WATTS,,211,,21_,3024
CADENCE,57,11,57,51,3024
DISTANCE,0.45,-,960,04_,3024
TIME,01:31,-,IE10,0131,3024
CALORIES,,,,11,3024
SPEED,2.1.2,-,21.2,212,3025
WATTS,274,211,1-1,211,3025
