landmark,pp1,ss1,pp2,ss2,frame
SPEED,17.8,-,173,178,900
WATTS,136,,136,13_,900
CADENCE,48,__,48,48,900
DISTANCE,,-,L.LI,00_,900
TIME,00:20,-,02:00,00120,900
CALORIES,,,,1,900
SPEED,17.8,-,17.0,178,901
WATTS,136,,136,13_,901
CADENCE,48,,48,48,901
DISTANCE,,-,600,003,901
TIME,00:20,-,02.00,0020,901
CALORIES,,,-,1,901
SPEED,17.8,-,17.8,178,902
WATTS,136,,136,13_,902
CADENCE,48,1,8h,48,902
DISTANCE,,-,F,0_,902
TIME,00:20,-,00.20,0020,902
CALORIES,,,-,1,902
SPEED,8_1,-,17 E,178,903
WATTS,136,,136,13_,903
CADENCE,48,1,48,48,903
DISTANCE,,-,007,003,903
TIME,00:20,-,00.20,0020,903
CALORIES,,,-,1,903
SPEED,17.8,-,17.0,178,904
WATTS,136,,136,13_,904
CADENCE,48,1,48,48,904
DISTANCE,,-,L.L1,__,904
TIME,00:20,-,02.00,0_120,904
CALORIES,,,-,1,904
SPEED,17.8,-,179,178,905
WATTS,136,,136,13_,905
CADENCE,48,__111,48,48,905
DISTANCE,0.0,-,0.07,00_,905
TIME,00:20,-,02.00,0020,905
CALORIES,,,1,1,905
SPEED,17.8,-,179,178,906
WATTS,136,,136,13_,906
CADENCE,48,_,48,48,906
DISTANCE,0.07,-,007,00_,906
TIME,00:20,-,00.20,n020,906
CALORIES,,,1,1,906
SPEED,17.8,-,17.3,178,907
WATTS,136,,136,13_,907
CADENCE,48,1,48,48,907
DISTANCE,,-,600,00_,907
TIME,00:20,-,02.00,0020,907
CALORIES,,,,1,907
SPEED,17.8,n,17.8,178,908
WATTS,136,,136,13_,908
CADENCE,48,1,48,48,908
DISTANCE,0.0,-,007,00_,908
TIME,00:20,-,00.27,0027,908
CALORIES,,,1,1,908
SPEED,17.8,-,171.3,178,909
WATTS,136,,136,13_,909
CADENCE,48,1,,48,909
DISTANCE,,-,L.L,__,909
TIME,00:27,,00.20,00211,909
CALORIES,,,,1,909
SPEED,17.8,-,17.8,178,910
WATTS,136,,136,13_,910
CADENCE,48,1,46,48,910
DISTANCE,,-,0.07,0_,910
TIME,,-,,n21,910
CALORIES,,,-,1,910
SPEED,17.8,-,170,178,911
WATTS,136,136,136,1_6,911
CADENCE,48,_111,42,48,911
DISTANCE,,-,0.07,00_,911
TIME,00:21,,00.2,0021,911
CALORIES,,,1,1,911
SPEED,17.8,-,173,178,912
WATTS,136,136,136,136,912
CADENCE,48,111,48,48,912
DISTANCE,FI,-,Li L i,0_,912
TIME,,-,00.2,0021,912
CALORIES,,,1,1,912
SPEED,17.8,-,17.8,178,913
WATTS,136,,136,13_,913
CADENCE,48,1,48,48,913
DISTANCE,,-,007,00_,913
TIME,00:21,-,00.21,0_121,913
CALORIES,,,,1,913
SPEED,17.8,-,179,178,914
WATTS,136,,136,13_,914
CADENCE,48,_,48,48,914
DISTANCE,,-,007,00_,914
TIME,00:21,-,00:2.1,00121,914
CALORIES,,,1,1,914
SPEED,17.8,-,17.8,178,915
WATTS,136,,136,13_,915
CADENCE,48,,th,48,915
DISTANCE,,-,L.L,0_,915
TIME,,-,,n_1,915
CALORIES,,,-,1,915
SPEED,17.8,-,173,178,916
WATTS,136,,136,13_,916
CADENCE,48,1,48,48,916
DISTANCE,,-,LiL,003,916
TIME,00:21,,00:2.1,00121,916
CALORIES,,,,1,916
SPEED,17.8,-,17 3,178,917
WATTS,136,,136,13_,917
CADENCE,48,,48,48,917
DISTANCE,,-,0.07,00_,917
TIME,00:21,,00:2.1,00121,917
CALORIES,,,,1,917
SPEED,17.8,-,17.8,178,918
WATTS,136,,136,13_,918
CADENCE,48,_11,48,48,918
DISTANCE,,-,LL,0_,918
TIME,00:21,,00.21,0021,918
CALORIES,,,-,1,918
SPEED,17.8,-,17.8,178,919
WATTS,136,,136,13_,919
CADENCE,48,_,46,48,919
DISTANCE,,-,L.L,0_,919
TIME,,-,0021,0021,919
CALORIES,,,-,1,919
SPEED,17.8,-,17.8,178,920
WATTS,136,,136,13_,920
CADENCE,48,,48,48,920
DISTANCE,,-,0.07,00_,920
TIME,00:21,-,00.2.,0021,920
CALORIES,,,-,1,920
SPEED,17.8,-,17.3,178,921
WATTS,136,,136,13_,921
CADENCE,48,_1,48,48,921
DISTANCE,0.07,-,0.07,00_,921
TIME,00:21,-,00.2,0021,921
CALORIES,,,1,1,921
SPEED,17.8,-,17.9,178,922
WATTS,136,,136,13_,922
CADENCE,+,_,48,48,922
DISTANCE,,-,Li.L,003,922
TIME,00:21,,00.21,0021,922
CALORIES,,,,1,922
SPEED,17.8,-,17 E,178,923
WATTS,136,,136,13_,923
CADENCE,48,,8h,48,923
DISTANCE,,-,007,00_,923
TIME,00:21,,00.27,0021,923
CALORIES,,,-,1,923
SPEED,17.8,-,17.8,178,924
WATTS,136,136,136,136,924
CADENCE,48,,48,48,924
DISTANCE,,-,0.07,00_,924
TIME,00:21,-,00.21,0021,924
CALORIES,,,-,1,924
SPEED,17.8,-,173,178,925
WATTS,136,,136,13_,925
CADENCE,48,,86,48,925
DISTANCE,,-,1.L,0_,925
TIME,00:21,,1.200,0_121,925
CALORIES,,,-,1,925
SPEED,17.8,-,17.0,178,926
WATTS,136,,136,13_,926
CADENCE,48,_1,86,48,926
DISTANCE,,-,LI.L,00_,926
TIME,00:21,,.200,0021,926
CALORIES,,,-,1,926
SPEED,17.8,-,ELi,178,927
WATTS,136,,136,13_,927
CADENCE,48,,48,8u,927
DISTANCE,,-,0.07,00_,927
TIME,00:21,-,00:21,n121,927
CALORIES,,,1,1,927
SPEED,17.8,-,17.0,178,928
WATTS,136,,136,13_,928
CADENCE,48,_111,42,48,928
DISTANCE,,-,LI.L,00_,928
TIME,00:21,-,00.21,0021,928
CALORIES,,,-,1,928
SPEED,17.8,-,17.0,118,929
WATTS,136,,136,13_,929
CADENCE,48,1,8h,48,929
DISTANCE,,-,LI.LI,00_,929
TIME,00:21,-,2.00,0021,929
CALORIES,,,-,1,929
SPEED,17.8,-,17 E,178,930
WATTS,136,136,136,136,930
CADENCE,48,,48,48,930
DISTANCE,,-,007,00_,930
TIME,00:21,-,00.21,0021,930
CALORIES,,,1,1,930
SPEED,17.8,-,17.0,178,931
WATTS,136,,136,13_,931
CADENCE,48,_1111,48,48,931
DISTANCE,,-,007,00_,931
TIME,,-,,n_1,931
CALORIES,,,,1,931
SPEED,17.8,6,170,1781,932
WATTS,136,136,136,136,932
CADENCE,48,,48,48,932
DISTANCE,,-,L1.L11,008,932
TIME,00:21,-,00.21,0021,932
CALORIES,,,1,1,932
SPEED,17.8,-,178,178,933
WATTS,136,,136,13_,933
CADENCE,48,,48,48,933
DISTANCE,,-,-.Li,003,933
TIME,00:2.1,-,00:21,00121,933
CALORIES,,,,1,933
SPEED,17.8,-,1.8,178,934
WATTS,136,136,136,136,934
CADENCE,48,,48,48,934
DISTANCE,0.0,-,,007,934
TIME,00:21,-,00.2.1,0021,934
CALORIES,,,-,1,934
SPEED,17.8,-,17.8,178,935
WATTS,136,,136,13_,935
CADENCE,48,1,48,48,935
DISTANCE,0.07,-,0.0,00_,935
