landmark,pp1,ss1,pp2,ss2,frame
SPEED,22.3,-,22.3,223,3900
WATTS,,,,21_,3900
CADENCE,60,1,,6_1,3900
DISTANCE,0.62,-,0.52,06_,3900
TIME,02:00,-,02.00,0_100,3900
CALORIES,16,,16,16,3900
SPEED,22.3,-,6.22,223,3901
WATTS,,212,,212,3901
CADENCE,,8,60,60,3901
DISTANCE,0.62,-,29.0,062,3901
TIME,02:00,,02.00,020l1,3901
CALORIES,16,,16,16,3901
SPEED,622,-,6.22,223,3902
WATTS,,,,21_,3902
CADENCE,60,_1,60,60,3902
DISTANCE,0.62,-,0.52,06_,3902
TIME,00:20,,02.00,0200,3902
CALORIES,16,,16,16,3902
SPEED,6.22,-,22.3,223,3903
WATTS,,2121,,21_,3903
CADENCE,,_,60,60,3903
DISTANCE,0.62,-,0.62,06_,3903
TIME,02:00,-,02.00,0_100,3903
CALORIES,16,,15,16,3903
SPEED,E22,-,22.3,_23,3904
WATTS,,212,,212,3904
CADENCE,60,1,60,60,3904
DISTANCE,0.62,-,062,06_,3904
TIME,02:00,-,02.00,0200,3904
CALORIES,16,,15,16,3904
SPEED,22.3,-,E22,223,3905
WATTS,,212,,212,3905
CADENCE,,_11,60,60,3905
DISTANCE,0.62,-,062,806_,3905
TIME,02:00,,02.00,0200,3905
CALORIES,16,,15,16,3905
SPEED,E22,-,6.22,223,3906
WATTS,,,,213,3906
CADENCE,60,,60,60,3906
DISTANCE,0.62,-,062,06_,3906
TIME,02:00,-,02.00,0200,3906
CALORIES,16,,16,16,3906
SPEED,6.22,-,6.22,223,3907
WATTS,,,,21_,3907
CADENCE,60,_1,60,60,3907
DISTANCE,0.62,-,0.62,06_,3907
TIME,02:00,,02.00,0200,3907
CALORIES,16,,16,16,3907
SPEED,22.3,-,E22,223,3908
WATTS,,,,21_,3908
CADENCE,60,_,60,60,3908
DISTANCE,0.62,-,0.62,06_,3908
TIME,02:00,,02.00,0200,3908
CALORIES,16,,16,16,3908
SPEED,6.22,-,22.3,223,3909
WATTS,,212,,212,3909
CADENCE,60,,60,60,3909
DISTANCE,0.62,-,0.62,06_,3909
TIME,02:00,,02:00,02100,3909
CALORIES,16,,16,16,3909
SPEED,6.22,-,E.22,223,3910
WATTS,,,,21_,3910
CADENCE,60,1,50,60,3910
DISTANCE,0.62,-,0.62,062,3910
TIME,,,,,3910
CALORIES,16,,16,16,3910
SPEED,22.3,-,622,223,3911
WATTS,,,,21_,3911
CADENCE,60,_1,50,60,3911
DISTANCE,0.62,-,062,06_,3911
TIME,02:07,,02:0,02101,3911
CALORIES,16,,16,16,3911
SPEED,6.22,-,22.3,223,3912
WATTS,,212,,212,3912
CADENCE,60,7,50,60,3912
DISTANCE,0.62,-,062,06_,3912
TIME,72:0,-,02.07,0201,3912
CALORIES,16,,15,16,3912
SPEED,6.22,-,22.3,223,3913
WATTS,,,,21_,3913
CADENCE,60,1,60,60,3913
DISTANCE,0.62,-,0.52,0_,3913
TIME,02:01,,10:20,02101,3913
CALORIES,16,,16,16,3913
SPEED,6.22,-,6.22,223,3914
WATTS,,,,21_,3914
CADENCE,60,__,60,60,3914
DISTANCE,0.62,-,062,06_,3914
TIME,02:01,-,02.0,n01,3914
CALORIES,16,,16,16,3914
SPEED,6.22,-,22.3,223,3915
WATTS,,212,,212,3915
CADENCE,60,1,60,60,3915
DISTANCE,0.63,-,0.63,062,3915
TIME,02:01,,02.0,0201,3915
CALORIES,16,,16,16,3915
SPEED,6.22,-,E22,223,3916
WATTS,,,,21_,3916
CADENCE,60,1,60,60,3916
DISTANCE,0.63,-,063,0_,3916
TIME,02:01,-,02.0,0201,3916
CALORIES,16,,15,16,3916
SPEED,E22,_,6.22,223,3917
WATTS,,,,21_,3917
CADENCE,60,11,60,60,3917
DISTANCE,0.63,-,69.0,06_,3917
TIME,02:01,-,02.0,0201,3917
CALORIES,16,,16,16,3917
SPEED,6.22,-,22.3,223,3918
WATTS,,212,,212,3918
CADENCE,60,,,60,3918
DISTANCE,0.63,-,69.0,06_,3918
TIME,02:01,-,02.01,0_101,3918
CALORIES,16,,15,16,3918
SPEED,22.3,-,E.22,223,3919
WATTS,,,,21_,3919
CADENCE,60,,60,60,3919
DISTANCE,0.63,-,69.0,06_,3919
TIME,02:0,-,02.0,0201,3919
CALORIES,16,,16,16,3919
SPEED,,,,,3920
WATTS,,212,,212,3920
CADENCE,60,_11,50,60,3920
DISTANCE,0.63,-,063,06_,3920
TIME,02:01,-,02.0,0201,3920
CALORIES,16,,15,16,3920
SPEED,22.3,-,6.22,223,3921
WATTS,,,,21_,3921
CADENCE,60,1_,60,60,3921
DISTANCE,0.63,-,063,068,3921
TIME,02:01,-,02.0,0201,3921
CALORIES,16,,16,16,3921
SPEED,22.3,-1,22.3,2231,3922
WATTS,,,,21_,3922
CADENCE,60,_,60,60,3922
DISTANCE,0.63,-,063,06_,3922
TIME,,,,,3922
CALORIES,16,,16,16,3922
SPEED,22.3,-,22.3,223,3923
WATTS,,2121,,212,3923
CADENCE,,_11,50,60,3923
DISTANCE,0.63,-,590,06_,3923
TIME,02:01,,02.0,0201,3923
CALORIES,16,,16,16,3923
SPEED,6.22,-,22.3,223,3924
WATTS,,,,21_,3924
CADENCE,60,,50,u,3924
DISTANCE,69'0,-,063,06_,3924
TIME,02:01,-,02:01,02101,3924
CALORIES,16,,16,16,3924
SPEED,E22,-1,E.22,2231,3925
WATTS,,,,21_,3925
CADENCE,60,5111,60,60,3925
DISTANCE,0.63,-,063,06_,3925
TIME,02:01,-,02.01,n01,3925
CALORIES,16,,15,16,3925
SPEED,22.3,-,22.3,2_3,3926
WATTS,,,,21_,3926
CADENCE,60,,60,60,3926
DISTANCE,0.63,-,0.63,06_,3926
TIME,02:01,-,02.01,0201,3926
CALORIES,16,,16,16,3926
SPEED,E22,-,E22,223,3927
WATTS,,212,,212,3927
CADENCE,60,,60,60,3927
DISTANCE,0.63,-,690,__,3927
