landmark,pp1,ss1,pp2,ss2,frame
SPEED,18.2,-,18.2,182,1100
WATTS,143,11_,143,113,1100
CADENCE,49,,49,49,1100
DISTANCE,0.10,-,0,01_,1100
TIME,00:27,-,00.27,0_127,1100
CALORIES,,,,1,1100
SPEED,18.2,-,162,182,1101
WATTS,143,113,143,113,1101
CADENCE,6H,1_111,6h,49,1101
DISTANCE,0.10,-,0.,0_,1101
TIME,00:27,,00:27,00127,1101
CALORIES,,,1,1,1101
SPEED,18.2,-,18.2,182,1102
WATTS,EHI,113,,113,1102
CADENCE,6H,,5h,49,1102
DISTANCE,0.10,-,0,010,1102
TIME,00:27,-,00.27,0027,1102
CALORIES,,,-,1,1102
SPEED,18.2,-,10.2,182,1103
WATTS,EHI,,En,11_,1103
CADENCE,6H,_,6h,49,1103
DISTANCE,0.10,-,0,01_,1103
TIME,00:27,-,00:27,00127,1103
CALORIES,,,,1,1103
SPEED,18.2,-,182,182,1104
WATTS,143,,EH!,11_,1104
CADENCE,49,,49,49,1104
DISTANCE,0.10,-,0.10,01_,1104
TIME,00:27,-,0027,0027,1104
CALORIES,,,-,1,1104
SPEED,18.2,-,18.2,182,1105
WATTS,143,,E-!,11_,1105
CADENCE,6H,_11,6h,49,1105
DISTANCE,0.10,-,0.,010,1105
TIME,00:27,-,00.27,0027,1105
CALORIES,,,-,1,1105
SPEED,18.2,-,.2,182,1106
WATTS,EHI,,EH,11_,1106
CADENCE,49,,6h,49,1106
DISTANCE,0.10,-,0,010,1106
TIME,00:27,-,00.27,0027,1106
CALORIES,,,1,1,1106
SPEED,18.2,-,12.2,182,1107
WATTS,143,,143,11_,1107
CADENCE,6H,,99,99,1107
DISTANCE,0.10,-,0.1,01_,1107
TIME,00:27,-,00.27,0027,1107
CALORIES,,,,1,1107
SPEED,18.2,-,2,18_,1108
WATTS,EHI,113,143,11_,1108
CADENCE,49,1,49,49,1108
DISTANCE,0.10,-,0,010,1108
TIME,00:27,-,00.27,0027,1108
CALORIES,,,,1,1108
SPEED,18.2,-,18.2,182,1109
WATTS,EHI,,EH,11_,1109
CADENCE,49,,19,49,1109
DISTANCE,0.10,-,0.10,01_,1109
TIME,00:27,,00.27,0027,1109
CALORIES,,,1,1,1109
SPEED,18.2,-,182,182,1110
WATTS,EHI,113,EN!,113,1110
CADENCE,6H,,49,49,1110
DISTANCE,0.10,-,01.0,01_,1110
TIME,00:27,-,00-27,0027,1110
CALORIES,,,1,1,1110
SPEED,18.2,-,18.2,182,1111
WATTS,EHI,11_,143,11_,1111
CADENCE,49,1,,49,1111
DISTANCE,0.10,-,0.,010,1111
TIME,00:27,-,00.27,0_127,1111
CALORIES,,,-,1,1111
SPEED,18.2,-,20,182,1112
WATTS,EHI,11_,E-I,11_,1112
CADENCE,49,,6h,49,1112
DISTANCE,0.10,-,0.,010,1112
TIME,00:27,-,62:00,0_127,1112
CALORIES,,,-,1,1112
SPEED,18.2,-,18.2,182,1113
WATTS,EHI,113,E-,113,1113
CADENCE,6H,,99,99,1113
DISTANCE,0.10,-,0.,010,1113
TIME,00:27,,62.07,l1027,1113
CALORIES,,,,1,1113
SPEED,18.2,-,182,182,1114
WATTS,EHI,,113,11_,1114
CADENCE,6H,,99,99,1114
DISTANCE,0.10,-,0.,010,1114
TIME,00:27,,00-27,0027,1114
CALORIES,,,,1,1114
SPEED,18.2,-,20,182,1115
WATTS,EHI,11_,E-I,11_,1115
CADENCE,49,,6h,49,1115
DISTANCE,0.10,-,0.,010,1115
TIME,00:27,-,62:00,0_127,1115
CALORIES,,,1,1,1115
SPEED,18.2,-,10.3,18_,1116
WATTS,EHI,1_,143,113,1116
CADENCE,49,111,Fh,49,1116
DISTANCE,0.10,-,0.,010,1116
TIME,00:27,-,0027,0027,1116
CALORIES,,,,1,1116
SPEED,18.2,-,13.8,188,1117
WATTS,,,198,19_,1117
CADENCE,99,,38,98,1117
DISTANCE,0.10,-,0.,010,1117
TIME,00:27,-,00.27,0027,1117
CALORIES,,,-,1,1117
SPEED,18.8,-,18.8,188,1118
WATTS,,1_,198,198,1118
CADENCE,50,,90,90,1118
DISTANCE,0.10,-,0,01_,1118
TIME,00:27,-,00.27,0027,1118
CALORIES,,,-,1,1118
SPEED,18.6,-,,188,1119
WATTS,150,1_,198,198,1119
CADENCE,50,1,50,50,1119
DISTANCE,0.10,-,01.0,01_,1119
TIME,00:27,-,00:27,00129,1119
CALORIES,,,,1,1119
SPEED,18.6,-,18.8,188,1120
WATTS,150,,150,15_,1120
CADENCE,50,,05,50,1120
DISTANCE,0.10,-,0.,010,1120
TIME,00:28,-,00.28,002a,1120
CALORIES,,,-,1,1120
SPEED,18.6,-,18.8,188,1121
WATTS,150,,150,15_,1121
CADENCE,50,,50,50,1121
DISTANCE,0.10,-,0.,010,1121
TIME,00:28,,00:20,00128,1121
CALORIES,,,,1,1121
SPEED,18.6,-,18.6,186,1122
WATTS,150,,150,15_,1122
CADENCE,50,,05,50,1122
DISTANCE,0.10,-,01.0,01_,1122
TIME,00:28,,00.28,0028,1122
CALORIES,,,,1,1122
SPEED,18.6,-,18.6,186,1123
WATTS,150,150,150,150,1123
CADENCE,,__11,30,90,1123
DISTANCE,0.10,-,0.1,01_,1123
TIME,00:28,-,00.28,0028,1123
CALORIES,,,-,1,1123
SPEED,18.6,-,18.6,186,1124
WATTS,150,150,150,150,1124
CADENCE,50,,05,50,1124
DISTANCE,0.10,-,0,010,1124
TIME,00:28,,00.29,0028,1124
CALORIES,,,,1,1124
SPEED,18.6,-,16.6,186,1125
WATTS,150,,150,15_,1125
CADENCE,50,,30,90,1125
DISTANCE,0.10,-,0,010,1125
TIME,00:28,,00.20,00128,1125
CALORIES,,,-,1,1125
SPEED,18.6,-,18.6,186,1126
WATTS,150,,150,15_,1126
CADENCE,50,,05,50,1126
DISTANCE,0.10,,10,01_,1126
TIME,00:28,,62:00,00128,1126
CALORIES,,,-,1,1126
SPEED,18.6,-,101.6,186,1127
WATTS,150,150,150,150,1127
CADENCE,50,1,30,90,1127
DISTANCE,0.10,-,0.1,01_,1127
TIME,00:28,-,82.00,0028,1127
CALORIES,,,,,1127
SPEED,18.6,-,18.6,186,1128
WATTS,150,,150,15_,1128
CADENCE,50,,50,50,1128
DISTANCE,0.10,-,0,010,1128
TIME,00:28,-,00.20,0028,1128
CALORIES,,,,,1128
SPEED,18.6,-,18.6,186,1129
WATTS,150,,150,15_,1129
CADENCE,50,1,05,50,1129
DISTANCE,0.10,-,0.,01_,1129
TIME,00:28,,00.28,0028,1129
CALORIES,,,-,,1129
SPEED,18.6,-,18.6,186,1130
WATTS,150,15_1,150,150,1130
CADENCE,50,1,50,50,1130
DISTANCE,0.10,-,0.11,01_,1130
TIME,00:28,-,82.00,0028,1130
CALORIES,,,-,_,1130
SPEED,18.6,-,18.6,186,1131
WATTS,150,1501,150,150,1131
CADENCE,50,,90,90,1131
DISTANCE,0.17,-,0.11,01_,1131
TIME,00:28,-,00.26,0028,1131
CALORIES,,,7,_,1131
SPEED,18.6,-,18.6,186,1132
