landmark,pp1,ss1,pp2,ss2,frame
SPEED,22.7,-,22.7,227,3800
WATTS,356,,256,25_,3800
CADENCE,LC,_11,L0,61,3800
DISTANCE,0.60,-,0.60,06_,3800
TIME,07:57,-,0510,0157,3800
CALORIES,15,,15,15,3800
SPEED,6-22,-,227,227,3801
WATTS,356,,256,25_,3801
CADENCE,6,__,,61,3801
DISTANCE,0.60,-,060,06_,3801
TIME,01:57,,0 7.57,0157,3801
CALORIES,15,,15,15,3801
SPEED,622,-,227,227,3802
WATTS,356,256,256,256,3802
CADENCE,6,111,,81,3802
DISTANCE,0.60,-,0.60,06_,3802
TIME,01:57,-,01.57,0157,3802
CALORIES,15,,15,15,3802
SPEED,22.7,-,22.7,227,3803
WATTS,356,256,256,256,3803
CADENCE,,_1,,61,3803
DISTANCE,0.60,-,L.CL,0_,3803
TIME,01:57,,6510,0157,3803
CALORIES,15,,15,15,3803
SPEED,622,-,22.7,227,3804
WATTS,366,,256,25_,3804
CADENCE,,8,,61,3804
DISTANCE,0.60,-,0.60,06_,3804
TIME,0.1:57,-,0.1:57,01157,3804
CALORIES,15,,15,15,3804
SPEED,6-22,-,22.7,227,3805
WATTS,356,256,256,256,3805
CADENCE,L,__1,,61,3805
DISTANCE,0.60,-,,0_,3805
TIME,01:57,-,L510,0157,3805
CALORIES,15,,15,15,3805
SPEED,22.7,-,22.7,227,3806
WATTS,356,,952,25_,3806
CADENCE,,8,,61,3806
DISTANCE,0.60,-,LE1L,0_,3806
TIME,01:57,-,651 0,01157,3806
CALORIES,15,,15,15,3806
SPEED,6.22,-,22.7,221,3807
WATTS,366,,256,25_,3807
CADENCE,6,_1,,61,3807
DISTANCE,0.60,-,LIEIL,0_,3807
TIME,01:57,-,01.57,0157,3807
CALORIES,15,,15,15,3807
SPEED,22,-,22.,227,3808
WATTS,356,,256,25_,3808
CADENCE,,8,,81,3808
DISTANCE,0.60,-,Li CL,0_,3808
TIME,01:57,-,0 1.57,0157,3808
CALORIES,15,,1-,1_,3808
SPEED,622,-,227,227,3809
WATTS,966,,256,25_,3809
CADENCE,LI,_111,,61,3809
DISTANCE,0.60,-,0.60,06_,3809
TIME,01:57,,6510,0157,3809
CALORIES,15,,15,15,3809
SPEED,22.7,-,22.7,227,3810
WATTS,366,,256,25_,3810
CADENCE,6,_11,LO,61,3810
DISTANCE,0.60,-,0.60,06_,3810
TIME,07:57,-,6510,0157,3810
CALORIES,15,,15,15,3810
SPEED,22.7,-,227,227,3811
WATTS,356,,256,25_,3811
CADENCE,L,_1,I_0,61,3811
DISTANCE,0.60,-,0.60,0_,3811
TIME,0.1:57,08,0 757,0157,3811
CALORIES,15,,15,16,3811
SPEED,22.7,-,227,2_7,3812
WATTS,256,256,256,256,3812
CADENCE,,1_1,,61,3812
DISTANCE,0.60,-,,060,3812
TIME,01:57,,0.1.57,0157,3812
CALORIES,15,,15,15,3812
SPEED,6.22,-,227,227,3813
WATTS,256,256,256,256,3813
CADENCE,L,11,_0,61,3813
DISTANCE,0.60,-,0.60,06_,3813
TIME,01:57,,0157,0157,3813
CALORIES,15,,15,15,3813
SPEED,22.7,-,22.7,227,3814
WATTS,356,,256,25_,3814
CADENCE,L,_1,LO,61,3814
DISTANCE,0.60,-,0.50,06_,3814
TIME,071:57,,6510,0157,3814
CALORIES,15,,15,15,3814
SPEED,22.7,-,22.7,227,3815
WATTS,356,,256,25_,3815
CADENCE,,_,I_0,61,3815
DISTANCE,0.60,-,0.50,06_,3815
TIME,01:57,,651.0,0157,3815
CALORIES,15,,15,15,3815
SPEED,22.7,-,227,221,3816
WATTS,356,256,256,256,3816
CADENCE,,_,LO,61,3816
DISTANCE,0.60,-,.90,06_,3816
TIME,01:57,-,01:57,01157,3816
CALORIES,15,,15,15,3816
SPEED,,,,,3817
WATTS,356,256,256,256,3817
CADENCE,,_1,6,61,3817
DISTANCE,0.60,-,0.5,061,3817
TIME,01:57,08,6510,0157,3817
CALORIES,15,,15,15,3817
SPEED,22.7,-,227,221,3818
WATTS,256,256,256,256,3818
CADENCE,6,1_1,,61,3818
DISTANCE,0.67,-,0.6,06_,3818
TIME,01:57,-,051.0,0157,3818
CALORIES,15,,15,16,3818
SPEED,622,-,227,227,3819
WATTS,356,256,256,256,3819
CADENCE,,,,61,3819
DISTANCE,0.6.,-,0.6,06_,3819
TIME,07:57,,L510,0157,3819
CALORIES,15,,15,15,3819
SPEED,6.22,-,22.71,227,3820
WATTS,366,,256,25_,3820
CADENCE,6,11,,61,3820
DISTANCE,0.6,-,0.6,06_,3820
