landmark,pp1,ss1,pp2,ss2,frame
SPEED,19.0,-,13.0,190,1200
WATTS,159,,65.,15_,1200
CADENCE,,1,UT,51,1200
DISTANCE,0.12,-,0.12,01_,1200
TIME,00:30,-,0600,00130,1200
CALORIES,TL,,TU,2,1200
SPEED,19.0,-,19.0,190,1201
WATTS,159,,159,15_,1201
CADENCE,,9,,51,1201
DISTANCE,0.12,-,-1,0_,1201
TIME,00:30,-,00.30,00130,1201
CALORIES,TL,,Tu,2,1201
SPEED,19.0,-,19.0,190,1202
WATTS,159,,159,15_,1202
CADENCE,,9,,51,1202
DISTANCE,0.12,-,12,0_,1202
TIME,00:30,-,00.30,0030,1202
CALORIES,TL,,,2,1202
SPEED,19.0,-,0,190,1203
WATTS,159,159,159,159,1203
CADENCE,5,_,,91,1203
DISTANCE,0.12,-,12,01_,1203
TIME,00:30,-,00.30,00130,1203
CALORIES,TL,,,2,1203
SPEED,19.0,-,,190,1204
WATTS,159,159,159,159,1204
CADENCE,,__,,91,1204
DISTANCE,0.712,-,0.12,01_,1204
TIME,00:30,-,00.30,0030,1204
CALORIES,,,TJ,_,1204
SPEED,19.0,-,0,190,1205
WATTS,159,159,159,159,1205
CADENCE,5,_1,,51,1205
DISTANCE,0.12,-,0.,012,1205
TIME,00:30,,00.30,0030,1205
CALORIES,TL,,Tu,2,1205
SPEED,19.0,-,0.61,190,1206
WATTS,159,,159,15_,1206
CADENCE,5,_1,,51,1206
DISTANCE,0.12,-,0.,012,1206
TIME,00:30,,00.30,0_30,1206
CALORIES,,,TU,2,1206
SPEED,19.0,-,061,190,1207
WATTS,159,,159,15_,1207
CADENCE,,_1,5,_1,1207
DISTANCE,0.12,-,12,0_,1207
TIME,00:30,,00.30,0030,1207
CALORIES,TL,,,2,1207
SPEED,0'61,-,0,190,1208
WATTS,159,,651,15_,1208
CADENCE,5,1_1,U,51,1208
DISTANCE,0.12,-,0.12,01_,1208
TIME,00:37,-,06-00,003n,1208
CALORIES,,,7,_,1208
SPEED,19.0,-,,190,1209
WATTS,651,,65.,15_,1209
CADENCE,5,111,,51,1209
DISTANCE,0.12,-,0.12,01_,1209
TIME,00:37,-,1E00,0031,1209
CALORIES,TL,,TU,2,1209
SPEED,19.0,-,0,190,1210
WATTS,651,,159,15_,1210
CADENCE,5,_1,5,51,1210
DISTANCE,0.712,-,0,01_,1210
TIME,00:37,-,00.37,0031,1210
CALORIES,,,,2,1210
SPEED,19.0,-,19.0,190,1211
WATTS,651,,65,15_,1211
CADENCE,5,_1,5,51,1211
DISTANCE,0.12,-,0.12,01_,1211
TIME,00:37,,00.3,0031,1211
CALORIES,TL,,TU,2,1211
SPEED,0'61,-,0,190,1212
WATTS,159,159,159,159,1212
CADENCE,5,_1,U,51,1212
DISTANCE,0.12,-,21.70,01_,1212
TIME,00:31,-,00.3,00131,1212
CALORIES,,,rU,2,1212
SPEED,19.0,-,,190,1213
WATTS,159,159,651,159,1213
CADENCE,5,_1,L7,51,1213
DISTANCE,0.12,-,0.,01_,1213
TIME,00:3,-,1E:00,0031,1213
CALORIES,TL,,,2,1213
SPEED,19.0,-,15.0,190,1214
WATTS,159,159,159,159,1214
CADENCE,,,,51,1214
DISTANCE,0.12,-,0,01_,1214
TIME,00:31,-,00:31,00131,1214
CALORIES,TL,,,2,1214
SPEED,19.0,-,15,190,1215
WATTS,159,159,159,159,1215
CADENCE,5,_1,U7,51,1215
DISTANCE,0.12,-,0,01_,1215
TIME,00:31,-,00.3 ,0031,1215
CALORIES,TL,,TU,2,1215
SPEED,19.0,-,19.0,190,1216
WATTS,651,,159,15_,1216
CADENCE,5,11_1,U7,51,1216
DISTANCE,0.12,-,12,012,1216
TIME,00:31,-,1E:00,0031,1216
CALORIES,TL,,,2,1216
SPEED,19.0,-,,190,1217
WATTS,159,,159,15_,1217
CADENCE,5,_11_1,,51,1217
DISTANCE,0.12,-,0.,012,1217
TIME,00:31,-,00.31,0031,1217
CALORIES,TL,,,2,1217
SPEED,19.0,-,1.0,190,1218
WATTS,159,159,159,159,1218
CADENCE,5,_,,51,1218
DISTANCE,0.12,-,0,0_,1218
TIME,00:31,-,00.3,0031,1218
CALORIES,TL,,,2,1218
SPEED,19.0,-,,190,1219
WATTS,159,,159,15_,1219
CADENCE,5,_,UT,51,1219
DISTANCE,0.12,-,0,012,1219
TIME,00:31,-,00.3,0031,1219
CALORIES,TL,,,2,1219
SPEED,19.0,-,19.0,190,1220
WATTS,159,159,159,159,1220
CADENCE,,9,,51,1220
DISTANCE,0.12,-,0,012,1220
TIME,00:31,-,00.3,0031,1220
CALORIES,,,,2,1220
SPEED,19.0,-,.0,190,1221
WATTS,159,,159,15_,1221
CADENCE,5,_,,51,1221
